Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
16D,18-19,1,Cleaning work- Rada roda,176957.42,Cleaning,No Issue,,
16D,18-19,2,Canvas bags,100000.00,Bags,No Issue,,
16D,18-19,3,Canvas bags,200000.00,Bags,No Issue,,
16D,18-19,4,Canvas bags,200000.00,Bags,No Issue,,
16D,18-19,5,Drainage repairs,171880.51,Drainage,No Issue,,
16D,18-19,6,Nameplates ,163975.24,Nameplates,No Issue,,
16D,18-19,7,Chairs in school,176968.51,Furniture,No Issue,,
29A,18-19,1,Furniture works,199593.66,Furniture,No Issue,,
29A,18-19,2,Cloth bags,200000.00,Bags,No Issue,,
29A,18-19,3,Cloth bags,200000.00,Bags,No Issue,,
29A,18-19,4,Cloth bags,200000.00,Bags,No Issue,,
29A,18-19,5,Cloth bags,200000.00,Bags,No Issue,,
29A,18-19,6,Cloth bags,200000.00,Bags,No Issue,,
29A,18-19,7,Thermoplastic paint on roads,175550.09,Traffic,No Issue,,
29B,18-19,1,Work on visarjan ghat,191940.50,Ganeshotsav,No Issue,,
29B,18-19,2,Development works at Arogya kothi,199772.81,Buildings,No Issue,,
29B,18-19,3,Shed at arogya kothi,94068.68,Buildings,No Issue,,
29B,18-19,4,Shed peshwe samadhi,197349.45,Buildings,No Issue,,
29B,18-19,5,Fencing,198768.51,Fencing,No Issue,,
29B,18-19,6,Development works,201105.00,Development work,No Issue,,
29B,18-19,7,Paver blocks ,199468.12,Pavement blocks,No Issue,,
29B,18-19,8,Water dispenser at crematorium,157966.10,Water supply,Resolved,Amount in the sheet is 1579661.00,
29C,18-19,1,Development works at Gym,197538.37,Gym,No Issue,,
29C,18-19,2,Water tanks cleaning,198200.50,Cleaning,No Issue,,
29C,18-19,3,Cleaning work- Rada roda,198416.64,Cleaning,No Issue,,
29C,18-19,4,Cleaning work- Rada roda,98889.57,Cleaning,No Issue,,
29C,18-19,5,Cleaning work- Rada roda,196467.05,Cleaning,No Issue,,
29C,18-19,6,Electrical works in toilets,88825.97,Electrification,No Issue,,
29C,18-19,7,CCTV camera ,199927.40,CCTV,No Issue,,
29C,18-19,8,Cleaning work- Rada roda,99309.99,Cleaning,No Issue,,
29D,18-19,1,Development works at Virangula kendra,197670.44,Buildings,No Issue,,
29D,18-19,2,Jute bags distributed,200000.00,Bags,No Issue,,
29D,18-19,3,Development works at Virangula kendra,179344.52,Buildings,No Issue,,
29D,18-19,4,Electrical works,190874.47,Electrification,No Issue,,
29D,18-19,5,Nameplates,94580.21,Nameplates,No Issue,,
29D,18-19,6,Thermoplastic paint on roads,179726.40,Traffic,No Issue,,
29D,18-19,7,Library shed,189696.65,Library,No Issue,,
15A,19-20,1,Jute bags distributed,200000.00,Bags,No Issue,,
15A,19-20,2,Jute bags distributed,200000.00,Bags,No Issue,,
15A,19-20,3,Jute bags distributed,100000.00,Bags,No Issue,,
15A,19-20,4,Nameplates,198869.36,Nameplates,No Issue,,
15A,19-20,5,Toilet repairs,184735.19,Toilet,No Issue,,
15A,19-20,6,Nameplates,98672.52,Nameplates,No Issue,,
15A,19-20,7,Repair works in a study,95457.21,Library,No Issue,,
15B,19-20,1,Concretization work ,193508.24,Concretization,No Issue,,
15B,19-20,2,Concretization work ,193103.78,Concretization,No Issue,,
15B,19-20,3,Concretization work ,195365.92,Concretization,No Issue,,
15B,19-20,4,Jute bags distributed,200000.00,Bags,No Issue,,
15B,19-20,5,Jute bags distributed,200000.00,Bags,No Issue,,
15B,19-20,6,Jute bags distributed,100000.00,Bags,No Issue,,
15B,19-20,7,Footpath work,193514.92,Footpath,No Issue,,
15B,19-20,8,Drainage repairs,197272.02,Drainage,No Issue,,
15B,19-20,9,Drainage repairs,197272.02,Drainage,No Issue,,
15B,19-20,10,Repair and maintenance works,179136.00,Maintenance,No Issue,,
15C,19-20,1,Toilet repairs,127602.18,Toilet,No Issue,,
15C,19-20,2,Concretization work ,128964.51,Concretization,No Issue,,
15C,19-20,3,Drainage repairs,199268.85,Drainage,No Issue,,
15C,19-20,4,Drainage repairs,198733.49,Drainage,No Issue,,
15C,19-20,5,Footpath work,152633.55,Footpath,No Issue,,
15C,19-20,6,Drainage repairs,157579.60,Drainage,No Issue,,
15C,19-20,7,Jute bags distributed,200000.00,Bags,No Issue,,
15C,19-20,8,Library shed,192129.66,Library,No Issue,,
15D,19-20,1,Toilet repairs,181405.54,Toilet,No Issue,,
15D,19-20,2,Nameplates,179162.12,Nameplates,No Issue,,
15D,19-20,3,Thermoplastic paint on roads,179531.80,Traffic,No Issue,,
15D,19-20,4,Thermoplastic paint on roads,99599.07,Traffic,No Issue,,
15D,19-20,5,Jute bags distributed,200000.00,Bags,No Issue,,
15D,19-20,6,Jute bags distributed,200000.00,Bags,No Issue,,
15D,19-20,7,Toilet repairs,192724.12,Toilet,No Issue,,
15D,19-20,8,Jute bags distributed,100000.00,Bags,No Issue,,
16A,19-20,1,Footpath work,167709.16,Footpath,No Issue,,
16A,19-20,2,Street light poles,196583.19,Electrification,No Issue,,
16A,19-20,3,Street light poles,196583.19,Electrification,No Issue,,
16A,19-20,4,Cleaning work- Rada roda,197447.33,Cleaning,No Issue,,
16A,19-20,5,Jute bags distributed,200000.00,Bags,No Issue,,
16A,19-20,6,Jute bags distributed,200000.00,Bags,No Issue,,
16A,19-20,7,Jute bags distributed,100000.00,Bags,No Issue,,
16A,19-20,8,Drainage repairs,170141.78,Drainage,No Issue,,
16B,19-20,1,Drainage repairs,197650.90,Drainage,No Issue,,
16B,19-20,2,Drainage repairs,198340.59,Drainage,No Issue,,
16B,19-20,3,Jute bags distributed,200000.00,Bags,No Issue,,
16B,19-20,4,Drainage repairs,197640.80,Drainage,No Issue,,
16B,19-20,5,Storm water drainage repairs,191799.94,Drainage,No Issue,,
16B,19-20,6,Drainage repairs,199026.98,Drainage,No Issue,,
16B,19-20,7,Electrical works,199356.64,Electrification,No Issue,,
16B,19-20,8,Electrical works,197669.92,Electrification,No Issue,,
16B,19-20,9,Electrical works,199183.04,Electrification,No Issue,,
16B,19-20,10,Electrical works,195074.88,Electrification,No Issue,,
16C,19-20,1,Tulshi vrundavan designed pole,196593.19,Electrification,No Issue,,
16C,19-20,2,Tulshi vrundavan designed pole,196583.19,Electrification,No Issue,,
16C,19-20,3,Nameplates,99071.85,Nameplates,No Issue,,
16C,19-20,4,Water pipeline,194135.70,Water supply,No Issue,,
16C,19-20,5,Fire extinguishers in school,200000.00,Buildings,No Issue,,
16C,19-20,6,Electrical works,99998.08,Electrification,No Issue,,
16C,19-20,7,Nameplates,159430.51,Nameplates,No Issue,,
16D,19-20,1,Drainage repairs,193359.43,Drainage,No Issue,,
16D,19-20,2,Footpath work,93871.28,Footpath,No Issue,,
16D,19-20,3,Drainage repairs,169916.96,Drainage,No Issue,,
29A,19-20,1,Library shed,199229.97,Library,No Issue,,
29A,19-20,2,Library shed,199845.74,Library,No Issue,,
29A,19-20,3,Concretization work ,196071.48,Concretization,No Issue,,
29A,19-20,4,Concretization work ,198988.14,Concretization,No Issue,,
29A,19-20,5,Nameplates,176764.26,Nameplates,No Issue,,
29A,19-20,6,Repair works at a study,86975.26,Library,No Issue,,
29A,19-20,7,Nameplates,99368.62,Nameplates,No Issue,,
29B,19-20,1,Development works,197014.70,Development work,No Issue,,
29B,19-20,2,Colouring works,171170.75,Colouring,No Issue,,
29B,19-20,3,Development works,197781.02,Development work,No Issue,,
29B,19-20,4,Channeling net,196276.15,Fencing,No Issue,,
29B,19-20,5,Development works in school,98835.52,Buildings,No Issue,,
29B,19-20,6,Repair and maintenance works,194789.76,Buildings,No Issue,,
29B,19-20,7,Cleaning work- Rada roda,196548.06,Cleaning,No Issue,,
29B,19-20,8,Jute bags distributed,200000.00,Bags,No Issue,,
29B,19-20,9,Jute bags distributed,200000.00,Bags,No Issue,,
29C,19-20,1,Drainage repairs,162209.18,Drainage,No Issue,,
29C,19-20,2,Paver blocks ,195666.14,Pavement blocks,No Issue,,
29C,19-20,3,Drainage repairs,197169.46,Drainage,No Issue,,
29C,19-20,4,Cleaning work- Rada roda,199549.50,Cleaning,No Issue,,
29C,19-20,5,Cleaning water tanks,198306.09,Cleaning,No Issue,,
29C,19-20,6,Jute bags distributed,200000.00,Bags,No Issue,,
29C,19-20,7,Cleaning work- Rada roda,98982.18,Cleaning,No Issue,,
29C,19-20,8,Cleaning work- Rada roda,199569.47,Cleaning,No Issue,,
29C,19-20,9,Cleaning work- Rada roda,199489.59,Cleaning,No Issue,,
29C,19-20,10,Cleaning work- Rada roda,199489.59,Cleaning,No Issue,,
29D,19-20,1,Library shed,99797.37,Library,No Issue,,
29D,19-20,2,Library repairs,18750.09,Library,No Issue,,
29D,19-20,3,Library repairs,199451.84,Library,No Issue,,
29D,19-20,4,Library shed,99730.72,Library,No Issue,,
29D,19-20,5,Nameplates,199024.80,Nameplates,No Issue,,
29D,19-20,6,Library shed,99974.02,Library,No Issue,,
29D,19-20,7,Eletrical works,197126.72,Electrification,No Issue,,
29D,19-20,8,Open gym,197579.20,Gym,No Issue,,
29D,19-20,9,Jute bags distributed,199920.00,Bags,No Issue,,
29D,19-20,10,Library shed,199489.59,Library,No Issue,,
15A,20-21,1,Drainage repairs,196518.31,Drainage,No Issue,,
15A,20-21,2,Cleaning work- Rada roda,199689.28,Cleaning,No Issue,,
15A,20-21,3,Toilet repairs,165155.88,Toilet,No Issue,,
15A,20-21,4,Library shed,165173.76,Library,No Issue,,
15A,20-21,5,Library shed,164113.08,Library,No Issue,,
15A,20-21,6,Building repairs,170509.48,Buildings,No Issue,,
15A,20-21,7,Paver blocks ,174759.41,Pavement blocks,No Issue,,
15A,20-21,8,Drainage repairs,179525.81,Drainage,No Issue,,
15B,20-21,1,Footpath work,198655.26,Footpath,No Issue,,
15B,20-21,2,Footpath work,198699.04,Footpath,No Issue,,
15B,20-21,3,Drainage repairs,198998.27,Drainage,No Issue,,
15B,20-21,4,Drainage repairs,198241.88,Drainage,No Issue,,
15B,20-21,5,Drainage repairs,195299.91,Drainage,No Issue,,
15B,20-21,6,Drainage repairs,199502.50,Drainage,No Issue,,
15B,20-21,7,Cleaning work- Rada roda,178055.80,Cleaning,No Issue,,
15B,20-21,8,Drainage repairs,198746.88,Drainage,No Issue,,
15B,20-21,9,Drainage repairs,199005.22,Drainage,No Issue,,
15B,20-21,10,Drainage repairs,195940.23,Drainage,No Issue,,
15C,20-21,1,Drainage repairs,199300.89,Drainage,No Issue,,
15C,20-21,2,Toilet repairs,193686.26,Toilet,No Issue,,
15C,20-21,3,Library shed,193614.02,Library,No Issue,,
15C,20-21,4,Footpath work,193955.53,Footpath,No Issue,,
15C,20-21,5,Storm water drainage repairs,196661.60,Drainage,No Issue,,
15C,20-21,6,Development work in school,199686.12,Buildings,No Issue,,
15C,20-21,7,Drainage repairs,199590.61,Drainage,No Issue,,
15C,20-21,8,Repair works in Municipal clinic,193450.16,Buildings,No Issue,,
15C,20-21,9,Toilet repairs,193450.16,Toilet,No Issue,,
15C,20-21,10,Cleaning work- Rada roda,198370.00,Cleaning,No Issue,,
15D,20-21,1,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
15D,20-21,2,Cleaning work- Rada roda,176860.00,Cleaning,No Issue,,
15D,20-21,3,Storm water drainage repairs,195267.99,Drainage,No Issue,,
15D,20-21,4,Drainage repairs,197026.66,Drainage,No Issue,,
15D,20-21,5,Storm water drainage repairs,198373.82,Drainage,No Issue,,
15D,20-21,6,Toilet repairs,191622.60,Toilet,No Issue,,
15D,20-21,7,Library shed,198984.07,Library,No Issue,,
15D,20-21,8,Paver blocks ,198984.07,Pavement blocks,No Issue,,
15D,20-21,9,Library shed,191993.97,Library,No Issue,,
15D,20-21,10,Cleaning material supply,199962.87,Cleaning,No Issue,,
16A,20-21,1,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
16A,20-21,2,Cleaning material supply,199986.00,Cleaning,No Issue,,
16A,20-21,3,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
16A,20-21,4,Water pipeline,185570.94,Water supply,No Issue,,
16A,20-21,5,Drainage repairs,164792.35,Drainage,No Issue,,
16A,20-21,6,Footpath work,163029.88,Footpath,No Issue,,
16A,20-21,7,Cleaning work- Rada roda,138859.00,Cleaning,No Issue,,
16A,20-21,8,Drainage repairs,167488.68,Drainage,No Issue,,
16B,20-21,1,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
16B,20-21,2,Hand Sanitizers,197214.46,Help / Fund / Relief Work,No Issue,,
16B,20-21,3,Storm water drainage repairs,194217.20,Drainage,No Issue,,
16B,20-21,4,Drainage repairs,197844.23,Drainage,No Issue,,
16B,20-21,5,Drainage repairs,197792.57,Drainage,No Issue,,
16B,20-21,6,Drainage repairs,171446.72,Drainage,No Issue,,
16B,20-21,7,Drainage repairs,197638.22,Drainage,No Issue,,
16B,20-21,8,Drainage repairs,197971.40,Drainage,No Issue,,
16B,20-21,9,Drainage repairs,197397.29,Drainage,No Issue,,
16B,20-21,10,Drainage repairs,195574.42,Drainage,No Issue,,
16C,20-21,1,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
16C,20-21,2,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
16C,20-21,3,Water pipeline,145344.68,Water supply,No Issue,,
16C,20-21,4,Water pipeline,194937.02,Water supply,No Issue,,
16C,20-21,5,Toilet repairs,193523.30,Toilet,No Issue,,
16C,20-21,6,Nameplates,193567.20,Nameplates,No Issue,,
16C,20-21,7,Development works at Gym,199017.45,Gym,No Issue,,
16C,20-21,8,Drainage repairs,156185.74,Drainage,No Issue,,
16C,20-21,9,Drainage repairs,75927.23,Drainage,No Issue,,
16C,20-21,10,Nameplates,77924.85,Nameplates,No Issue,,
16D,20-21,1,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
16D,20-21,2,Footpath work,194227.99,Footpath,No Issue,,
16D,20-21,3,Drainage repairs,197033.22,Drainage,No Issue,,
16D,20-21,4,Drainage repairs,196684.40,Drainage,No Issue,,
16D,20-21,5,Development works,196176.70,Development work,No Issue,,
16D,20-21,6,Footpath work,193625.22,Footpath,No Issue,,
16D,20-21,7,Drainage repairs,196928.54,Drainage,No Issue,,
16D,20-21,8,Drainage repairs,199483.35,Drainage,No Issue,,
16D,20-21,9,Cleaning work- Rada roda,172080.00,Cleaning,No Issue,,
29A,20-21,1,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
29A,20-21,2,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
29A,20-21,3,Distributing masks,200000.00,Help / Fund / Relief Work,No Issue,,
29A,20-21,4,Drainage repairs,199590.05,Drainage,No Issue,,
29A,20-21,5,Drainage repairs,199107.83,Drainage,No Issue,,
29A,20-21,6,Gym equipments,199080.00,Gym,No Issue,,
29A,20-21,7,Drainage repairs,198559.27,Drainage,No Issue,,
29A,20-21,8,Library shed,198226.09,Library,No Issue,,
29A,20-21,9,Library shed,198045.52,Library,No Issue,,
29A,20-21,10,Library shed,198950.11,Library,No Issue,,
29B,20-21,1,Storm water drainage repairs,196523.15,Drainage,No Issue,,
29B,20-21,2,Repair and maintenance at Thosarbaug,195945.10,Garden,Resolved,Is Thosarbaug a garden? Or should the code be maintainance ,Garden is fine
29B,20-21,3,Drainage repairs,199349.74,Drainage,No Issue,,
29B,20-21,4,Paver blocks ,196102.26,Pavement blocks,No Issue,,
29B,20-21,5,Nameplates,198911.26,Nameplates,No Issue,,
29B,20-21,6,Cleaning work- Rada roda,199421.60,Cleaning,No Issue,,
29B,20-21,7,Samaj Mandir repairs,199785.51,Buildings,No Issue,,
29B,20-21,8,Toilet repairs,193442.75,Toilet,No Issue,,
29B,20-21,9,Repair and maintenance works,193700.98,Maintenance,No Issue,,
29B,20-21,10,Eletrical works,199720.64,Electrification,No Issue,,
29C,20-21,1,Cleaning work- Rada roda,199329.84,Cleaning,No Issue,,
29C,20-21,2,Cleaning work- Rada roda,199329.84,Cleaning,No Issue,,
29C,20-21,3,Paver blocks ,195763.93,Pavement blocks,No Issue,,
29C,20-21,4,Drainage repairs,199375.02,Drainage,No Issue,,
29C,20-21,5,Paver blocks ,195659.24,Pavement blocks,No Issue,,
29C,20-21,6,Cleaning work- Rada roda,177973.07,Cleaning,No Issue,,
29C,20-21,7,Drainage repairs,198919.35,Drainage,No Issue,,
29C,20-21,8,Drainage repairs,199373.46,Drainage,No Issue,,
29C,20-21,9,Footpath work,198652.54,Footpath,No Issue,,
29C,20-21,10,Electrical works,191649.92,Electrification,No Issue,,
29D,20-21,1,Library shed,192843.02,Library,No Issue,,
29D,20-21,2,Library shed,193594.61,Library,No Issue,,
29D,20-21,3,Drainage repairs,199193.76,Drainage,No Issue,,
29D,20-21,4,Electrical works,198993.76,Electrification,No Issue,,
29D,20-21,5,Library shed,197954.42,Library,No Issue,,
29D,20-21,6,Nameplates,199085.29,Nameplates,No Issue,,
29D,20-21,7,Thermoplastic paint on roads,198719.14,Traffic,No Issue,,
