Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
38B,18-19,7,Direction board installation,158500.68,Nameplates,No Issue,,
41D,18-19,9,Canvas bags distribution,199920.00,Bags,No Issue,,
41C,18-19,10,Canvas bags distribution,199920.00,Bags,No Issue,,
41A,18-19,11,Canvas bags distribution,199920.00,Bags,No Issue,,
41A,18-19,12,Canvas bags distribution,199920.00,Bags,No Issue,,
41A,18-19,13,Canvas bags distribution,199920.00,Bags,No Issue,,
41A,18-19,14,Canvas bags distribution,199920.00,Bags,No Issue,,
38C,18-19,15,Direction board installation,152296.81,Nameplates,No Issue,,
41A,18-19,16,Direction board installation,151617.52,Nameplates,No Issue,,
41A,18-19,17,Direction board installation,133247.48,Nameplates,No Issue,,
41A,18-19,18,Direction board installation,133241.12,Nameplates,No Issue,,
41A,18-19,19,Direction board installation,145221.12,Nameplates,No Issue,,
38B,18-19,21,Information board installation,197601.81,Nameplates,No Issue,,
38A,18-19,22,Direction board installation,184744.09,Nameplates,No Issue,,
38A,18-19,23, 'Dipmal'/swaged poll installation,97356.83,Electrification,No Issue,,
38A,18-19,24,Cats eye instllation and thermoplastic painting,158714.91,Road,No Issue,,
38A,18-19,25,Cats eye instllation and thermoplastic painting,166633.82,Road,No Issue,,
38C,18-19,26,Direction boards installation,200000.00,Nameplates,Resolved,Amount verification required.,Changed amount to the approved amount
38C,18-19,27,Height barrier installation,200000.00,Traffic,Resolved,"Code - ??? also, Amount verification required.",Code is correct. Changed amount to the approved amount
38A,18-19,28,Direction boards installation,178521.40,Nameplates,No Issue,,
38D,18-19,29,Footpath development work,194244.30,Footpath,No Issue,,
41D,18-19,30,Direction boards installation,158072.04,Nameplates,No Issue,,
41D,18-19,31,Direction boards installation,153437.09,Nameplates,No Issue,,
41D,18-19,32,Direction boards installation,155216.88,Nameplates,No Issue,,
41D,18-19,33,Direction boards installation,136892.90,Nameplates,No Issue,,
41D,18-19,34,Direction boards installation,147763.95,Nameplates,No Issue,,
38A,18-19,35,Chain-link fencing and patra partition work,200000.00,Fencing,Resolved,Amount verification required.,Changed amount to the approved amount
38A,18-19,36,Bags distribution,199920.00,Bags,No Issue,,
38A,18-19,37,Bags distribution,199920.00,Bags,No Issue,,
38D,18-19,38,Concretization,198315.26,Concretization,No Issue,,
38A,19-20,1,Drainage line related work,197514.77,Drainage,No Issue,,
38C,19-20,2,Direction boards installation,160503.69,Nameplates,No Issue,,
41A,19-20,4,Lanes repair and cleaning work,198968.00,Maintenance,No Issue,,
41D,19-20,5,Lanes repair and cleaning work,198968.00,Maintenance,No Issue,,
41C,19-20,6,Lanes repair and cleaning work,198968.00,Maintenance,No Issue,,
41C,19-20,7, 'Swachha-bharat' movement related work,135231.22,Cleaning,No Issue,,
38C,19-20,8,Direction boards installation,197414.15,Nameplates,No Issue,,
38D,19-20,9,Nameplates installation,197178.93,Nameplates,No Issue,,
38C,19-20,10,Drainage related work,197330.48,Drainage,No Issue,,
41C,19-20,11,Direction boards installation,159746.67,Nameplates,No Issue,,
41A,19-20,12,Direction boards installation,159746.67,Nameplates,No Issue,,
38B,19-20,13,Tiles installation and concretization,197929.96,Pavement blocks,No Issue,,
38B,19-20,14,Concretization,197920.65,Concretization,No Issue,,
38D,19-20,15,Concretization,195649.78,Concretization,No Issue,,
38B,19-20,16,Drainage line related work,197474.82,Drainage,No Issue,,
41D,19-20,17,Direction boards installation,159746.67,Nameplates,No Issue,,
41D,19-20,18,Direction boards installation,159728.49,Nameplates,No Issue,,
41C,19-20,19,Direction boards installation,159746.67,Nameplates,No Issue,,
41A,19-20,20,Direction boards installation,159695.47,Nameplates,No Issue,,
38A,19-20,21,Electrical work,179510.47,Electrification,No Issue,,
38A,19-20,22,Electrical work,176932.73,Electrification,No Issue,,
38B,19-20,23,Public library related work,197676.19,Library,No Issue,,
38A,19-20,24,Road development work,170479.50,Road,No Issue,,
38A,19-20,25,Direction boards installation,175252.52,Nameplates,No Issue,,
38B,19-20,26,Drainage line installation and concretization,164675.48,Drainage,No Issue,,
38B,19-20,27,Nameplates installation,197792.80,Nameplates,No Issue,,
38B,19-20,28,Footpath repair work,196662.46,Footpath,No Issue,,
41D,19-20,29,Drainage line cleaning,197583.84,Drainage,No Issue,,
41A,19-20,30,Drainage line related work,197336.30,Drainage,No Issue,,
41A,19-20,31,Drainage line related work,197658.11,Drainage,No Issue,,
41C,19-20,32,Drainage line related work,197658.11,Drainage,No Issue,,
41C,19-20,33,Rainwater line cleaning ,197658.11,Drainage,No Issue,,
41A,19-20,34,Drainage line related work,197583.84,Drainage,No Issue,,
41C,19-20,35,Footpath repair work,199055.26,Footpath,No Issue,,
41C,19-20,36,Rainwater line cleaning ,197658.11,Drainage,No Issue,,
41A,19-20,37,Interlocking blocks installation,198217.86,Pavement blocks,No Issue,,
38A,20-21,1,Hand sanitizer and masks distribution,199920.00,Help / Fund / Relief Work,No Issue,,
38A,20-21,2,Sanitizer distribution,199824.00,Help / Fund / Relief Work,No Issue,,
38A,20-21,3,Sanitizer stand and sanitizer distribution,199945.00,Help / Fund / Relief Work,No Issue,,
38B,20-21,1,Mask and soap distribution,199920.00,Help / Fund / Relief Work,No Issue,,
38B,20-21,2,Sanitizer stand distribution,192745.54,Help / Fund / Relief Work,No Issue,,
38B,20-21,3,Sanitizer distribution,199930.19,Help / Fund / Relief Work,No Issue,,
38C,20-21,1,Hand sanitizer and masks distribution,99814.00,Help / Fund / Relief Work,No Issue,,
38C,20-21,2,Hand sanitizer and masks distribution,199920.00,Help / Fund / Relief Work,No Issue,,
38C,20-21,3,Hand sanitizer and masks distribution,199920.00,Help / Fund / Relief Work,No Issue,,
38C,20-21,4,Hand sanitizer and masks distribution,198515.80,Help / Fund / Relief Work,No Issue,,
38D,20-21,1,"Hand sanitizer, mask and soap distribution",99792.00,Help / Fund / Relief Work,No Issue,,
38D,20-21,2,Sanitizer distribution,198520.00,Help / Fund / Relief Work,No Issue,,
38D,20-21,3,Hand wash basin installation,198708.92,Help / Fund / Relief Work,No Issue,,
38D,20-21,4,Mask distribution,149968.00,Help / Fund / Relief Work,No Issue,,
38D,20-21,5,Sanitizer distribution,199265.40,Help / Fund / Relief Work,No Issue,,
38D,20-21,6,Sanitizer distribution,99792.00,Help / Fund / Relief Work,No Issue,,
38D,20-21,7,Sanitizer stand distribution,197755.51,Help / Fund / Relief Work,No Issue,,
41A,20-21,1,Hand wash basin installation,199332.60,Help / Fund / Relief Work,No Issue,,
41A,20-21,2,Hand wash basin installation,199332.00,Help / Fund / Relief Work,No Issue,,
41A,20-21,3,Cloth mask distribution,199337.00,Help / Fund / Relief Work,No Issue,,
41A,20-21,4,Sanitizer distribution,199920.00,Help / Fund / Relief Work,No Issue,,
41A,20-21,5,Mask distribution,199920.00,Help / Fund / Relief Work,No Issue,,
41A,20-21,6,Handwash/ sanitizer stand installation,198226.00,Help / Fund / Relief Work,No Issue,,
41A,20-21,7,Mask distribution,199034.00,Help / Fund / Relief Work,No Issue,,
41B,20-21,1,"Hand sanitizer, mask and soap distribution",199920.00,Help / Fund / Relief Work,No Issue,,
41B,20-21,2,Mask distribution,190969.00,Help / Fund / Relief Work,No Issue,,
41B,20-21,3,Hand free sanitizer stand distribution,198240.00,Help / Fund / Relief Work,No Issue,,
41C,20-21,1,Mask distribution,199332.60,Help / Fund / Relief Work,No Issue,,
41C,20-21,2,Hand wash basin installation,199337.38,Help / Fund / Relief Work,No Issue,,
41C,20-21,3,Sanitizer distribution,199920.00,Help / Fund / Relief Work,No Issue,,
41C,20-21,4,Sanitizer stand installation,199920.00,Help / Fund / Relief Work,No Issue,,
41D,20-21,1,Mask distribution,199337.00,Help / Fund / Relief Work,No Issue,,
41D,20-21,2,Mask and sanitizer distribution,199920.00,Help / Fund / Relief Work,No Issue,,
41D,20-21,3,Sanitizer stand installation,199808.00,Help / Fund / Relief Work,No Issue,,
