Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
23B,20-21,28,Electrification/new street lights,198993.93,Electrification,No Issue,,
22A,20-21,29,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,115742.64,Buildings,No Issue,,
22A,20-21,30,Pavement Blocks / Grouting / Laying tiles,115500.00,Pavement blocks,No Issue,,
26C,20-21,31,Market related works,122336.59,Markets /Mandi,No Issue,,
26C,20-21,32,"Installation of railing along footpath
",144536.37,Footpath,No Issue,,
22B,20-21,33,Electrification/new street lights,197785.31,Electrification,No Issue,,
22B,20-21,34,Electrification/new street lights,179863.49,Electrification,No Issue,,
22D,20-21,35,Electrification/new street lights,197478.17,Electrification,No Issue,,
26B,20-21,36,Electrification/new street lights,173489.04,Electrification,No Issue,,
26B,20-21,37,Electrification/new street lights,197420.51,Electrification,No Issue,,
22D,20-21,38,Electrification/new street lights,197403.88,Electrification,No Issue,,
22D,20-21,39,Electrification/new street lights,197198.75,Electrification,No Issue,,
22D,20-21,40,Electrification/new street lights,197403.88,Electrification,No Issue,,
23B,20-21,41,Drainage works,116160.68,Drainage,No Issue,,
23B,20-21,42,Pavement Blocks / Grouting / Laying tiles,116150.46,Pavement blocks,No Issue,,
23B,20-21,43,Drainage works,116200.66,Drainage,No Issue,,
26C,20-21,44,Drainage works,128182.72,Drainage,No Issue,,
26C,20-21,45,Drainage works,124463.51,Drainage,No Issue,,
42A,20-21,46,Bags,200000.00,Bags,No Issue,,
42A,20-21,47,Bags,200000.00,Bags,No Issue,,
42A,20-21,48,Bags,200000.00,Bags,No Issue,,
22D,20-21,49,Pavement Blocks / Grouting / Laying tiles,121058.72,Pavement blocks,No Issue,,
26A,20-21,50,Drainage works,113614.01,Drainage,No Issue,,
26A,20-21,51,Concretization,87679.99,Concretization,No Issue,,
26A,20-21,52,Drainage related work,117694.58,Drainage,No Issue,,
23A,20-21,53,Blocks installation and Concretization,179508.00,Concretization,No Issue,,
22C,20-21,54,Concretization,138791.28,Concretization,No Issue,,
22C,20-21,55,Pavement Blocks / Grouting / Laying tiles,140245.95,Pavement blocks,No Issue,,
22C,20-21,56,Concretization and installation of blocks,114136.10,Concretization,Resolved,Is this amount correct???,Looks okay. 
22D,20-21,57,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,147292.28,Buildings,No Issue,,
22D,20-21,58,Drainage works,133944.15,Drainage,No Issue,,
22D,20-21,59,Concretization,137317.35,Concretization,No Issue,,
42A,20-21,60,Drainage works,179575.75,Drainage,No Issue,,
42A,20-21,61,Maintenance related work,197823.03,Maintenance,No Issue,,
42A,20-21,62,Drainage works,197431.51,Drainage,No Issue,,
42A,20-21,63,Drainage works,197813.93,Drainage,No Issue,,
42A,20-21,64,Drainage works,197823.30,Drainage,No Issue,,
42A,20-21,65,Drainage works,197619.65,Drainage,No Issue,,
22C,20-21,66,Drainage works,145312.73,Drainage,No Issue,,
22C,20-21,67,Pavement Blocks / Grouting / Laying tiles,147653.03,Pavement blocks,No Issue,,
22B,20-21,68,Drainage works,179184.00,Drainage,No Issue,,
26D,20-21,69,Electrification/new street lights,197550.00,Electrification,No Issue,,
23A,20-21,70,Drainage works,122252.00,Drainage,No Issue,,
23A,20-21,71,Pavement Blocks / Grouting / Laying tiles,140998.00,Pavement blocks,No Issue,,
23A,20-21,72,Pavement Blocks / Grouting / Laying tiles,140312.00,Pavement blocks,No Issue,,
23A,20-21,73,Drainage works,100037.28,Drainage,No Issue,,
26A,20-21,74,Concretization,107506.22,Concretization,No Issue,,
23C,20-21,75,Drainage works,199806.14,Drainage,No Issue,,
23C,20-21,76,Drainage works,199899.15,Drainage,No Issue,,
23C,20-21,77,Drainage works,199894.17,Drainage,No Issue,,
23B,20-21,78,Disaster Relief Work / Contribution to PM Cares etc,200000.00,Help / Fund / Relief Work,No Issue,,
26B,20-21,79,Disaster Relief Work / Contribution to PM Cares etc,143530.00,Help / Fund / Relief Work,No Issue,,
22B,20-21,80,Drainage works,196425.60,Drainage,No Issue,,
22A,20-21,81,Mainetnance and cleaning works,199983.00,Cleaning,No Issue,,
22A,20-21,82,Disaster Relief Work / Contribution to PM Cares etc,200000.00,Help / Fund / Relief Work,Resolved,Confirm amount (sheet has the same amount).,
23D,20-21,83,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,158659.57,Buildings,No Issue,,
23D,20-21,84,Building toilets / maintenance etc.,99981.00,Cleaning,No Issue,,
23D,20-21,85,Black phenyl purchasing for toilets,199962.00,Cleaning,No Issue,,
23D,20-21,86,Disaster Relief Work / Contribution to PM Cares etc,200000.00,Help / Fund / Relief Work,No Issue,,
26B,20-21,87,Disaster Relief Work / Contribution to PM Cares etc,199956.34,Help / Fund / Relief Work,No Issue,,
26B,20-21,88,Disaster Relief Work / Contribution to PM Cares etc,199956.34,Help / Fund / Relief Work,No Issue,,
42A,20-21,89,Disaster Relief Work / Contribution to PM Cares etc,100000.00,Help / Fund / Relief Work,No Issue,,
23C,20-21,90,Disaster Relief Work / Contribution to PM Cares etc,200000.00,Help / Fund / Relief Work,No Issue,,
42A,20-21,91,Disaster Relief Work / Contribution to PM Cares etc,100000.00,Help / Fund / Relief Work,No Issue,,
22B,20-21,92,Drainage works,197932.76,Drainage,No Issue,,
23A,20-21,93,Disaster Relief Work / Contribution to PM Cares etc,200000.00,Help / Fund / Relief Work,No Issue,,
26A,20-21,94,Disaster Relief Work / Contribution to PM Cares etc,200000.00,Help / Fund / Relief Work,No Issue,,
26C,20-21,95,Disaster Relief Work / Contribution to PM Cares etc,200000.00,Help / Fund / Relief Work,No Issue,,
23C,20-21,96,Drainage works,199898.40,Drainage,No Issue,,
23C,20-21,97,Drainage works,199775.52,Drainage,No Issue,,
23C,20-21,98,Drainage works,199899.15,Drainage,No Issue,,
23C,20-21,99,Drainage works,199894.10,Drainage,No Issue,,
23C,20-21,100,Drainage works,199806.14,Drainage,No Issue,,
23C,20-21,101,Pavement Blocks / Grouting / Laying tiles,199275.28,Pavement blocks,No Issue,,
23B,20-21,102,Drainage works,199740.92,Drainage,No Issue,,
23B,20-21,103,Drainage works,199740.92,Drainage,No Issue,,
23D,20-21,104,Drainage works,95305.62,Drainage,No Issue,,
22D,19-20,1,Electrification/new street lights,174278.98,Electrification,No Issue,,
26A,19-20,2,Electrification/new street lights,172077.33,Electrification,No Issue,,
26B,19-20,3,Electrification/new street lights,197339.81,Electrification,No Issue,,
26C,19-20,4,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,155050.06,Nameplates,No Issue,,
26C,19-20,5,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,155050.06,Nameplates,No Issue,,
26B,19-20,6,Electrification/new street lights,173077.44,Electrification,No Issue,,
22C,19-20,7,Electrification/new street lights,173077.04,Electrification,No Issue,,
22C,19-20,8,Electrification/new street lights,126097.33,Electrification,No Issue,,
22D,19-20,9,Electrification/new street lights,195988.18,Electrification,No Issue,,
22D,19-20,10,Electrification/new street lights,123541.43,Electrification,No Issue,,
23B,19-20,11,Electrification/new street lights,196013.68,Electrification,No Issue,,
23C,19-20,12,Electrification/new street lights,195838.49,Electrification,No Issue,,
26A,19-20,13,Electrification/new street lights,180542.00,Electrification,No Issue,,
26B,19-20,14,Electrification/new street lights,111853.07,Electrification,No Issue,,
22B,19-20,15,Electrification/new street lights,122653.97,Electrification,No Issue,,
23A,19-20,16,Electrification/new street lights,123506.00,Electrification,No Issue,,
23B,19-20,17,Electrification/new street lights,196387.35,Electrification,No Issue,,
23B,19-20,18,Electrification/new street lights,197153.53,Electrification,No Issue,,
23C,19-20,19,Electrification/new street lights,197216.73,Electrification,No Issue,,
23C,19-20,20,Electrification/new street lights,197000.52,Electrification,No Issue,,
22B,19-20,21, 'Katta' installation,152978.64,Benches,Resolved,Code - ?? Is katta = bench??,Bench is right
23C,19-20,22,Development work at waste seggregation shed,199455.22,Waste disposal,Resolved,Code - ???,Corrected
26A,19-20,23,Pavement Blocks / Grouting / Laying tiles,166738.06,Pavement blocks,No Issue,,
26A,19-20,24,Pavement Blocks / Grouting / Laying tiles,119529.89,Pavement blocks,No Issue,,
26D,19-20,25,Drainage works,192359.92,Drainage,No Issue,,
26D,19-20,26,Pavement Blocks / Grouting / Laying tiles,173894.73,Pavement blocks,No Issue,,
26D,19-20,27,Pavement Blocks / Grouting / Laying tiles,173260.50,Pavement blocks,No Issue,,
26D,19-20,28,Concretization,178272.57,Concretization,No Issue,,
22A,19-20,29,Electrification/new street lights,190258.31,Electrification,No Issue,,
23C,19-20,30,Electrification/new street lights,132190.29,Electrification,No Issue,,
23C,19-20,31,Electrification/new street lights,132813.09,Electrification,No Issue,,
26A,19-20,32,Electrification/new street lights,197526.86,Electrification,No Issue,,
26A,19-20,33,Electrification/new street lights,197757.75,Electrification,No Issue,,
22C,19-20,34,Gym / gym equipments,175024.73,Gym,No Issue,,
22C,19-20,35,Fencing / walls / gates,153673.69,Fencing,No Issue,,
22D,19-20,36,Garden / playground works,159830.38,Garden,No Issue,,
22D,19-20,37,Building toilets / maintenance etc.,175284.52,Toilet,No Issue,,
22D,19-20,38, 'Katta' installation,175292.88,Benches,Resolved,Code - ?? Is katta = bench??,Benches is right
22D,19-20,39,Garden / playground works,191307.13,Garden,No Issue,,
22D,19-20,40,Cemetery/ crematorium related development work,197194.50,Cemetory / Crematorium,No Issue,,
22D,19-20,41,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,87232.29,Buildings,No Issue,,
22B,19-20,42,Electrification/new street lights,143180.00,Electrification,No Issue,,
23A,19-20,43,Drainage works,161799.81,Drainage,No Issue,,
23A,19-20,44,Concretization,127870.55,Concretization,No Issue,,
23A,19-20,45,Concretization,122571.64,Concretization,No Issue,,
26A,19-20,46,Electrification/new street lights,87896.07,Electrification,No Issue,,
23B,19-20,47,Fencing / walls / gates,169989.12,Fencing,No Issue,,
23B,19-20,48,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,84857.44,Buildings,No Issue,,
26B,19-20,49,Drainage works,172507.00,Drainage,Resolved,Amount to be confirmed since expenditure is above 2L,
26B,19-20,50,Drainage works,137411.52,Drainage,No Issue,,
22A,19-20,51,Pavement Blocks / Grouting / Laying tiles,128632.99,Pavement blocks,No Issue,,
22B,19-20,52,Sitting platform installation in crematorium,139159.56,Cemetory / Crematorium,No Issue,,
22B,19-20,53,Drainage works,135020.98,Drainage,No Issue,,
22B,19-20,54,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,137384.74,Nameplates,No Issue,,
26C,19-20,55,Electrification/new street lights,114775.09,Electrification,No Issue,,
26D,19-20,56,Concretization,173494.33,Concretization,No Issue,,
26D,19-20,57,Drainage works,174053.40,Drainage,No Issue,,
22C,19-20,58,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,170868.01,Buildings,No Issue,,
23C,19-20,59,Electrification/new street lights,98155.29,Electrification,No Issue,,
26C,19-20,60,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,98748.94,Nameplates,No Issue,,
23B,19-20,61,Electrification/new street lights,98833.89,Electrification,No Issue,,
23A,19-20,62,Drainage works,146967.34,Drainage,No Issue,,
23C,19-20,63,Electrification/new street lights,98324.94,Electrification,No Issue,,
22B,19-20,64,Electrification/new street lights,98649.82,Electrification,No Issue,,
26B,19-20,65,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,197763.07,Nameplates,No Issue,,
23D,19-20,67,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,197896.41,Nameplates,No Issue,,
23D,19-20,66,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,197896.41,Nameplates,No Issue,,
26D,19-20,68,Electrification/new street lights,98323.95,Electrification,No Issue,,
26D,19-20,69,Concretization,187254.25,Concretization,No Issue,,
22A,18-19,1,Electrification/new street lights,124930.03,Electrification,No Issue,,
22A,18-19,2,Electrification/new street lights,125068.72,Electrification,No Issue,,
22A,18-19,3, 'Murum' in school ground,76678.52,Road,Resolved,Code - ??,Right code used. 
22A,18-19,4,Gym / gym equipments,142117.78,Gym,No Issue,,
22A,18-19,5,Mainetnance and cleaning works,129517.02,Cleaning,No Issue,,
22A,18-19,6,Drainage works,141000.37,Drainage,No Issue,,
22B,18-19,7,Electrification/new street lights,135927.81,Electrification,No Issue,,
22B,18-19,8,Steel bollards/poles,141771.86,Steel Bollards,No Issue,,
22B,18-19,9,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,139307.58,Nameplates,No Issue,,
22B,18-19,10,Electrification/new street lights,197882.01,Electrification,No Issue,,
22C,18-19,11,Electrification/new street lights,175596.13,Electrification,No Issue,,
22C,18-19,12,Electrification/new street lights,125214.38,Electrification,No Issue,,
22C,18-19,13,Pavement Blocks / Grouting / Laying tiles,148554.72,Pavement blocks,No Issue,,
22D,18-19,14,Electrification/new street lights,131295.25,Electrification,No Issue,,
22D,18-19,15,Electrification/new street lights,127923.73,Electrification,No Issue,,
22D,18-19,16,Electrification/new street lights,124668.96,Electrification,No Issue,,
22D,18-19,17,Benches,197558.40,Benches,No Issue,,
22D,18-19,18,Details of the work,151974.14,Development work,No Issue,,
23A,18-19,19,Electrification/new street lights,113304.34,Electrification,No Issue,,
23A,18-19,20,Electrification/new street lights,126715.92,Electrification,No Issue,,
23C,18-19,21,Development work at waste seggregation shed,197358.59,Waste disposal,No Issue,,
23B,18-19,22,Decoration (सुशोभीकरण in marathi),189779.30,Decoration,No Issue,,
23B,18-19,23,Decoration (सुशोभीकरण in marathi),189779.30,Decoration,No Issue,,
23B,18-19,24,Electrification/new street lights,197593.72,Electrification,No Issue,,
23B,18-19,25,Electrification/new street lights,196318.60,Electrification,No Issue,,
23B,18-19,26,Electrification/new street lights,196694.45,Electrification,No Issue,,
23C,18-19,27,Electrification/new street lights,141875.63,Electrification,No Issue,,
23C,18-19,28,Electrification/new street lights,197400.79,Electrification,No Issue,,
23C,18-19,29,Electrification/new street lights,124139.76,Electrification,No Issue,,
23A,18-19,30,Benches,151800.61,Benches,No Issue,,
23C,18-19,31,Electrification/new street lights,98771.91,Electrification,No Issue,,
23C,18-19,32,Electrification/new street lights,196875.22,Electrification,No Issue,,
23D,18-19,33,Electrification/new street lights,128972.50,Electrification,No Issue,,
23D,18-19,34,Electrification/new street lights,124656.96,Electrification,No Issue,,
23D,18-19,35,Electrification/new street lights,125649.74,Electrification,No Issue,,
23D,18-19,36,Mainetnance and cleaning works,169935.30,Cleaning,No Issue,,
23D,18-19,37,Electrification/new street lights,188045.71,Electrification,No Issue,,
26B,18-19,38,Electrification/new street lights,123038.31,Electrification,No Issue,,
26B,18-19,39,Electrification/new street lights,197236.69,Electrification,No Issue,,
26C,18-19,40,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,134800.93,Nameplates,No Issue,,
26C,18-19,41,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,134800.93,Nameplates,No Issue,,
26C,18-19,42,Electrification/new street lights,169334.84,Electrification,No Issue,,
26C,18-19,43,Electrification/new street lights,177957.98,Electrification,No Issue,,
26C,18-19,44,Electrification/new street lights,98343.92,Electrification,No Issue,,
26D,18-19,45,Electrification/new street lights,97735.19,Electrification,No Issue,,
26D,18-19,46,Benches,181962.23,Benches,No Issue,,
26D,18-19,47,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,196038.38,Nameplates,No Issue,,
26D,18-19,48,Benches,181962.23,Benches,No Issue,,
26D,18-19,49,Decoration works,171325.44,Decoration,Resolved,Amount to be confirmed since expenditure is above 2L,
26D,18-19,50,Miscelleneous Development work,197160.89,Development work,No Issue,,
26D,18-19,51,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,197409.17,Buildings,No Issue,,
26D,18-19,52,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,195627.45,Buildings,No Issue,,
23B,17-18,1,Colouring works,199180.82,Colouring,No Issue,,
23B,17-18,2,Decoration (सुशोभीकरण in marathi),199440.19,Decoration,No Issue,,
26A,17-18,3,Drainage works,199738.81,Drainage,No Issue,,
26B,17-18,4,Drainage works,198447.85,Drainage,No Issue,,
26D,17-18,5,Drainage works,113592.71,Drainage,No Issue,,
22A,17-18,6,Fencing / walls / gates,65039.49,Fencing,No Issue,,
22A,17-18,7,Fencing / walls / gates,137020.73,Fencing,No Issue,,
22A,17-18,8,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,70446.80,Nameplates,No Issue,,
22B,17-18,9,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,142672.39,Nameplates,No Issue,,
22A,17-18,10,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,130999.16,Buildings,No Issue,,
22A,17-18,11,"Water pipelines, repairing etc.",126652.35,Drainage,No Issue,,
22D,17-18,12,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,154990.76,Buildings,No Issue,,
26A,17-18,13,Benches,147601.67,Benches,No Issue,,
26A,17-18,14,Benches,143383.34,Benches,No Issue,,
26B,17-18,15,Pavement Blocks / Grouting / Laying tiles,68415.11,Pavement blocks,No Issue,,
26B,17-18,16,Pavement Blocks / Grouting / Laying tiles,127530.77,Pavement blocks,No Issue,,
26C,17-18,17,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,133224.65,Nameplates,No Issue,,
26C,17-18,18,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,133211.32,Nameplates,No Issue,,
26C,17-18,19,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,135889.18,Nameplates,No Issue,,
26D,17-18,20,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,143021.92,Nameplates,No Issue,,
26D,17-18,21,Benches,143303.34,Benches,No Issue,,
26D,17-18,22,Benches,172658.68,Benches,No Issue,,
23D,17-18,23,Benches,147641.66,Benches,No Issue,,
23B,17-18,24,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,149877.75,Nameplates,No Issue,,
23C,17-18,25,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,157871.23,Nameplates,No Issue,,
23C,17-18,26,Pavement Blocks / Grouting / Laying tiles,125626.27,Pavement blocks,No Issue,,
23C,17-18,27,Concretization,125561.28,Concretization,No Issue,,
23C,17-18,28,Concretization,125523.03,Concretization,No Issue,,
23C,17-18,29,Drainage works,142567.88,Drainage,No Issue,,
26B,17-18,30,Electrification/new street lights,71679.49,Electrification,No Issue,,
26B,17-18,31,Electrification/new street lights,135033.74,Electrification,No Issue,,
23D,17-18,32,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,126837.33,Nameplates,No Issue,,
23D,17-18,33,Benches,107707.30,Benches,No Issue,,
23A,17-18,34,P.M.C. school related development work,92787.76,Buildings,No Issue,,
22D,17-18,35,Benches,158616.93,Benches,No Issue,,
22D,17-18,36,Benches,158616.93,Benches,No Issue,,
22D,17-18,37,Benches,161477.40,Benches,No Issue,,
22D,17-18,38,Benches,124520.90,Benches,No Issue,,
22D,17-18,39,Benches,124520.90,Benches,No Issue,,
22D,17-18,40,Benches,146697.95,Benches,No Issue,,
22D,17-18,41,Benches,160848.32,Benches,No Issue,,
22C,17-18,42,Benches,142989.99,Benches,No Issue,,
22C,17-18,43,Benches,142989.99,Benches,No Issue,,
22C,17-18,44,Benches,142989.99,Benches,No Issue,,
23B,17-18,45,Road Construction / Colouring Roads / Railing Work / Speed Breaker,198800.00,Road,No Issue,,
23C,17-18,46,Benches,142879.91,Benches,No Issue,,
23C,17-18,47,Benches,140426.14,Benches,No Issue,,
26C,17-18,48,Benches,142989.99,Benches,No Issue,,
26C,17-18,49,Benches,142989.99,Benches,No Issue,,
22B,17-18,50,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,140906.04,Nameplates,No Issue,,
22D,17-18,51,Garden / playground works,146751.42,Garden,No Issue,,
22C,17-18,52,Drainage works,189867.00,Drainage,No Issue,,
22C,17-18,53,Drainage works,187868.40,Drainage,No Issue,,
26B,17-18,54,Electrification/new street lights,187373.12,Electrification,No Issue,,
26B,17-18,55,Electrification/new street lights,187709.15,Electrification,No Issue,,
23B,17-18,56,Electrification/new street lights,200000.00,Electrification,No Issue,,
26B,17-18,57,Electrification/new street lights,134887.90,Electrification,No Issue,,
23A,17-18,58,Fencing / walls / gates,83861.66,Fencing,No Issue,,
23A,17-18,59,Fencing / walls / gates,90243.09,Fencing,No Issue,,
23A,17-18,60,Pavement Blocks / Grouting / Laying tiles,151811.67,Pavement blocks,No Issue,,
26B,17-18,61,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,114626.82,Nameplates,No Issue,,
22C,17-18,62,Drainage works,125978.78,Drainage,No Issue,,
23D,17-18,63,Pavement Blocks / Grouting / Laying tiles,135754.73,Pavement blocks,No Issue,,
23D,17-18,64,Mainetnance and cleaning works,71630.19,Cleaning,No Issue,,
22A,17-18,65,Benches,130053.52,Benches,No Issue,,
22A,17-18,66,Benches,130053.52,Benches,No Issue,,
22B,17-18,67,Steel bollards/poles,150546.00,Steel Bollards,No Issue,,
23B,17-18,68,Drainage works,146362.10,Drainage,No Issue,,
23B,17-18,69,Drainage works,138272.68,Drainage,No Issue,,
26A,17-18,70,Building toilets / maintenance etc.,63500.95,Toilet,No Issue,,
23B,17-18,71,Benches,197130.07,Benches,No Issue,,
26B,17-18,72,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,151096.84,Buildings,No Issue,,
26A,17-18,73,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,150242.72,Buildings,No Issue,,
26A,17-18,74,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
26A,17-18,75,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
26C,17-18,76,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
26C,17-18,77,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
26C,17-18,78,Jute bags/ cloth/ canvas bags etc.,100000.00,Bags,No Issue,,
23D,17-18,79,Jute bags/ cloth/ canvas bags etc.,100000.00,Bags,No Issue,,
