Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
3A,19-20,4,Footpaths / pedestrian crossings,192231.00,Footpath,No Issue,,
3A,19-20,5,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,199987.20,Nameplates,No Issue,,
3A,19-20,6,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,Resolved,No amount is mentioned in the sheet!!!,2 lakhs added based on other entries: Tanmay
3A,19-20,7,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,Resolved,No amount is mentioned in the sheet!!!,2 lakhs added based on other entries: Tanmay
3B,19-20,1,Distributing Computers,200000.00,Computers,No Issue,,
3B,19-20,2,Drainage works,197652.00,Drainage,No Issue,,
3B,19-20,3,Pavement Blocks / Grouting / Laying tiles,199697.12,Pavement blocks,No Issue,,
3B,19-20,4,Library sheds/ library maintenance,189420.00,Library,No Issue,,
3B,19-20,5,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199893.79,Road,No Issue,,
3B,19-20,6,Drainage works,197696.00,Drainage,No Issue,,
3B,19-20,7,Library sheds/ library maintenance,197350.00,Library,No Issue,,
3B,19-20,8,Benches,100000.00,Benches,No Issue,,
3B,19-20,9,Benches,200000.00,Benches,No Issue,,
3B,19-20,10,Mainetnance and cleaning works,164287.00,Maintenance,No Issue,,
3B,19-20,11,Disaster Relief Work / Contribution to PM Cares etc,100000.00,Help / Fund / Relief Work,No Issue,,
3C,19-20,1,Decoration (सुशोभीकरण in marathi),122975.00,Decoration,No Issue,,
3C,19-20,2,Road Construction / Colouring Roads / Railing Work / Speed Breaker,147108.00,Road,No Issue,,
3C,19-20,3,Colouring works,122990.00,Colouring,No Issue,,
3C,19-20,4,Push vehicles supply,200000.00,Waste disposal,No Issue,,
3C,19-20,5,Push vehicles supply,200000.00,Waste disposal,No Issue,,
3C,19-20,6,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
3C,19-20,7,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
3C,19-20,8,Disaster Relief Work / Contribution to PM Cares etc,100000.00,Help / Fund / Relief Work,No Issue,,
3C,19-20,9,Bags,200000.00,Bags,No Issue,,
3C,19-20,10,Push vehicles supply,100000.00,Waste disposal,No Issue,,
3C,19-20,11,Jute bags/ cloth/ canvas bags etc.,200000.00,Bags,No Issue,,
3D,19-20,1,Footpaths / pedestrian crossings,200000.00,Footpath,No Issue,,
3D,19-20,2,Cleaning material purchase etc,199995.04,Cleaning,No Issue,,
3D,19-20,3,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,200000.00,Buildings,No Issue,,
3D,19-20,4,Road Construction / Colouring Roads / Railing Work / Speed Breaker,99993.60,Road,No Issue,,
3D,19-20,5,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,199903.76,Buildings,No Issue,,
3D,19-20,6,Repair work of security wall compound,199979.36,Maintenance,No Issue,,
3D,19-20,7,Drainage works,199914.40,Drainage,No Issue,,
3D,19-20,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,99923.15,Road,No Issue,,
3D,19-20,9,Road Construction / Colouring Roads / Railing Work / Speed Breaker,99923.15,Road,No Issue,,
4A,19-20,1,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199961.66,Road,No Issue,,
4A,19-20,2,Library sheds/ library maintenance,199779.78,Library,No Issue,,
4A,19-20,3,Pavement Blocks / Grouting / Laying tiles,199828.60,Pavement blocks,No Issue,,
4A,19-20,4,Drainage works,199809.12,Drainage,No Issue,,
4A,19-20,5,Drainage works,199809.12,Drainage,No Issue,,
4A,19-20,6,Colouring works,199940.16,Colouring,No Issue,,
4A,19-20,7,"Furniture works, curtains etc.",199940.16,Furniture,No Issue,,
4A,19-20,8,"Furniture works, curtains etc.",199831.52,Furniture,No Issue,,
4B,19-20,1,Mainetnance and cleaning works,199901.00,Maintenance,No Issue,,
4B,19-20,2,Building toilets / maintenance etc.,200000.00,Toilet,No Issue,,
4B,19-20,3,Drainage works,177813.22,Drainage,No Issue,,
4B,19-20,4,Distributing Dustbins/buckets,199901.00,Dustbin/Buckets,No Issue,,
4B,19-20,5,Drainage works,149848.26,Drainage,No Issue,,
4B,19-20,6,Jute bags/ cloth/ canvas bags etc.,178550.00,Bags,No Issue,,
4B,19-20,7,Colouring works,159776.57,Colouring,No Issue,,
4B,19-20,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,174875.45,Road,No Issue,,
4C,19-20,1,Mainetnance and cleaning works,172359.00,Maintenance,No Issue,,
4C,19-20,2,Library sheds/ library maintenance,169803.00,Library,No Issue,,
4C,19-20,3,Library sheds/ library maintenance,199779.78,Library,No Issue,,
4C,19-20,4,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,199903.76,Buildings,No Issue,,
4C,19-20,5,Library sheds/ library maintenance,199841.60,Library,No Issue,,
4C,19-20,6,Cemetory Colouring works,199951.36,Colouring,No Issue,,
4C,19-20,7,Cemetory development work,199924.48,Cemetory / Crematorium,No Issue,,
4C,19-20,8,Cemetory development work,199903.76,Cemetory / Crematorium,No Issue,,
4C,19-20,9,Market related works,199841.60,Markets /Mandi,No Issue,,
4D,19-20,1,"Furniture works, curtains etc.",199977.68,Furniture,No Issue,,
4D,19-20,2,Road Construction / Colouring Roads / Railing Work / Speed Breaker,76849.32,Road,No Issue,,
4D,19-20,3,Gym / gym equipments,199607.52,Gym,No Issue,,
4D,19-20,4,"Furniture works, curtains etc.",199809.12,Furniture,No Issue,,
4D,19-20,5,Drainage works,151713.00,Drainage,No Issue,,
4D,19-20,6,Colouring works of library,171630.00,Colouring,No Issue,,
4D,19-20,7,"Furniture works, curtains etc.",199977.68,Furniture,No Issue,,
4D,19-20,8,Drainage works,149305.00,Drainage,No Issue,,
4D,19-20,9,Mandai/market mainetnance and cleaning works,199977.68,Markets /Mandi,No Issue,,
4D,19-20,10,Mandai/market miscelleneous Development work,199885.84,Markets /Mandi,No Issue,,
5A,19-20,1,Road Construction / Colouring Roads / Railing Work / Speed Breaker,173655.00,Road,No Issue,,
5A,19-20,2,Drainage works,171610.00,Drainage,No Issue,,
5A,19-20,3,Concretization,161914.00,Concretization,No Issue,,
5A,19-20,4,Drainage works,128464.56,Drainage,No Issue,,
5A,19-20,5,Cleaning material purchase etc,161883.00,Cleaning,No Issue,,
5A,19-20,6,Maintenance and cleaning works,161861.00,Maintenance,No Issue,,
5A,19-20,7,Miscelleneous Development work,200000.00,Development work,No Issue,,
5A,19-20,8,Miscelleneous Development work,157932.00,Development work,No Issue,,
5B,19-20,1,Hospital / clinics/ medical facilities,132115.25,Medical,No Issue,,
5B,19-20,2,Road Construction / Colouring Roads / Railing Work / Speed Breaker,155322.25,Road,No Issue,,
5B,19-20,3,Picking of radar waste,154208.00,Cleaning,No Issue,,
5B,19-20,4,Road Construction / Colouring Roads / Railing Work / Speed Breaker,155346.78,Road,No Issue,,
5B,19-20,5,Colouring works,139658.00,Colouring,No Issue,,
5B,19-20,6,Drainage works,148940.00,Drainage,No Issue,,
5B,19-20,7,Building toilets / maintenance etc.,149516.00,Toilet,No Issue,,
5B,19-20,8,Picking of radar waste,149721.00,Cleaning,No Issue,,
5B,19-20,9,Bags,200000.00,Bags,No Issue,,
5B,19-20,10,Road Construction / Colouring Roads / Railing Work / Speed Breaker,174516.64,Road,No Issue,,
5C,19-20,1,Benches,200000.00,Benches,No Issue,,
5C,19-20,2,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,197940.00,Nameplates,No Issue,,
5C,19-20,3,Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting,179546.00,Nameplates,No Issue,,
5C,19-20,4,Benches,163058.39,Benches,No Issue,,
5C,19-20,5,Bags,200000.00,Bags,No Issue,,
5C,19-20,6,Speed breaker,178347.00,Road,No Issue,,
5C,19-20,7,White strips painting on roads,200000.00,Road,No Issue,,
5C,19-20,8,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
5C,19-20,9,Ghanta gadi purchase,200000.00,Waste disposal,No Issue,,
5D,19-20,1,Road Construction / Colouring Roads / Railing Work / Speed Breaker,200000.00,Road,No Issue,,
5D,19-20,2,Road Construction / Colouring Roads / Railing Work / Speed Breaker,155322.25,Road,No Issue,,
5D,19-20,3,Drainage works,138993.94,Drainage,No Issue,,
5D,19-20,4,Library sheds/ library maintenance,155987.84,Library,No Issue,,
5D,19-20,5,Mainetnance and cleaning works,154932.86,Maintenance,No Issue,,
5D,19-20,6,White strips painting on roads,163872.00,Road,No Issue,,
5D,19-20,7,White strips painting on roads,158406.00,Road,No Issue,,
5D,19-20,8,Drainage works,148938.00,Drainage,No Issue,,
5D,19-20,9,Picking of radar waste,149721.00,Cleaning,No Issue,,
5D,19-20,10,Toilet repair and cleaning,148732.00,Toilet,No Issue,,
5D,19-20,11,Bags,200000.00,Bags,No Issue,,
3A,20-21,1,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
3A,20-21,2,Distribution of scented phenyl and acid,199971.00,Cleaning,No Issue,,
3A,20-21,3,Picking of radar waste,197692.00,Cleaning,No Issue,,
3A,20-21,4,Drainage works,187824.00,Drainage,No Issue,,
3A,20-21,5,Drainage works,156799.00,Drainage,No Issue,,
3A,20-21,6,Road Concretization,178395.00,Concretization,No Issue,,
3A,20-21,7,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199567.00,Road,No Issue,,
3A,20-21,8,Distribution of masks,195000.00,Help / Fund / Relief Work,No Issue,,
3A,20-21,9,Footpaths / pedestrian crossings,200000.00,Footpath,No Issue,,
3A,20-21,10,Drainage works,197622.00,Drainage,No Issue,,
3B,20-21,1,Distribution of masks,200000.00,Help / Fund / Relief Work,No Issue,,
3B,20-21,2,Cleaning material purchase etc,141627.00,Cleaning,No Issue,,
3B,20-21,3,Road Construction / Colouring Roads / Railing Work / Speed Breaker,161706.00,Road,No Issue,,
3B,20-21,4,Pavement Blocks / Grouting / Laying tiles,161540.00,Pavement blocks,No Issue,,
3B,20-21,5,Road Construction / Colouring Roads / Railing Work / Speed Breaker,161500.00,Road,No Issue,,
3B,20-21,6,Drainage works,197825.00,Drainage,No Issue,,
3B,20-21,7,Library sheds/ library maintenance,155370.00,Library,No Issue,,
3B,20-21,8,Drainage works,160090.00,Drainage,No Issue,,
3C,20-21,1,"Water pipelines, repairing etc.",200000.00,Water supply,No Issue,,
3C,20-21,2,"Water pipelines, repairing etc.",199735.74,Water supply,No Issue,,
3C,20-21,3,Mask distribution,200000.00,Help / Fund / Relief Work,No Issue,,
3C,20-21,4,Furniture work at library sheds/ library maintenance,199910.00,Furniture,No Issue,,
3C,20-21,5,Library maintenance,199860.00,Library,No Issue,,
3C,20-21,6,Sanitizer system installation,199938.00,Help / Fund / Relief Work,No Issue,,
3C,20-21,7,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199892.00,Road,No Issue,,
3C,20-21,8,Road Construction / Colouring Roads / Railing Work / Speed Breaker,199399.00,Road,No Issue,,
3C,20-21,9,"Public dustbins, maintenance, waste disposal facility",200000.00,Waste disposal,No Issue,,
3C,20-21,10,Distributing Dustbins/buckets,200000.00,Dustbin/Buckets,No Issue,,
3D,20-21,1,Fencing / walls / gates,105000.00,Fencing,No Issue,,
3D,20-21,2,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed,149788.00,Buildings,No Issue,,
3D,20-21,3,Drainage works,127811.00,Drainage,No Issue,,
3D,20-21,4,Road Concretization,122453.00,Concretization,No Issue,,
3D,20-21,5,Chamber cleaning,134010.00,Cleaning,No Issue,,
3D,20-21,6,Road Concretization,122267.00,Concretization,No Issue,,
3D,20-21,7,Drainage works,110055.00,Drainage,No Issue,,
3D,20-21,8,"Water pipelines, repairing etc.",99117.00,Water supply,No Issue,,
3D,20-21,9,Road Construction / Colouring Roads / Railing Work / Speed Breaker,77221.00,Road,No Issue,,
