Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
21B,17-18,10,Cement blocks,156177.46,Pavement blocks,No Issue,,
21C,17-18,1,Jute bags distribution,200000.00,Bags,No Issue,,
21C,17-18,2,Bollards,150784.00,Steel Bollards,No Issue,,
21C,17-18,3,Buckets distribution for waste collection,200000.00,Dustbin/Buckets,No Issue,,
21C,17-18,4,Concretization,145485.98,Concretization,No Issue,,
21C,17-18,5,Drainage lines,149304.84,Drainage,No Issue,,
21C,17-18,6,Benches,157046.40,Benches,No Issue,,
21C,17-18,7,Drainage line,161487.44,Drainage,No Issue,,
21C,17-18,8,Colouring swimming pool at Jijau Krida Sankulan,123521.37,Colouring,No Issue,,
21C,17-18,9,Colouring swimming pool at Jijau Krida Sankulan,122829.31,Colouring,No Issue,,
21C,17-18,10,Electrical work,123185.42,Electrification,No Issue,,
21D,17-18,1,Jute bags distribution,200000.00,Bags,No Issue,,
21D,17-18,2,Jute bags distribution,200000.00,Bags,No Issue,,
21D,17-18,3,Jute bags distribution,200000.00,Bags,No Issue,,
21D,17-18,4,Buckets distribution,200000.00,Dustbin/Buckets,No Issue,,
21D,17-18,5,Buckets distribution,200000.00,Dustbin/Buckets,No Issue,,
21D,17-18,6,Thermoplastic strips painting on roads,151580.72,Traffic,No Issue,,
21D,17-18,7,Thermoplastic strips painting on roads,151580.72,Traffic,No Issue,,
21D,17-18,8,Distribution and installation of non-electric water disinfection system in PMC buildings,200000.00,Water supply,No Issue,,
21D,17-18,9,Bollards,195324.80,Steel Bollards,No Issue,,
21D,17-18,10,Bollards,195324.80,Steel Bollards,No Issue,,
20A,18-19,1,"Colouring at Samaj mandir, Balwadi",169543.73,Colouring,Resolved,Code - Buildings/ Colouring??,Colouring
20A,18-19,2,Library and shed,196656.91,Buildings,No Issue,,
20A,18-19,3,"Installation of name plates, road indicators, direction boards",178631.22,Nameplates,No Issue,,
20A,18-19,4,Colouring at Samaj mandir,161989.61,Colouring,Resolved,Code - Buildings/ Colouring??,Colouring
20A,18-19,5,Installation of solar street lights,140893.50,Electrification,No Issue,,
20A,18-19,6,Electrical work at Samaj Mandir,59245.16,Electrification,Resolved,Code - Buildings/  Electrification?,Electrification
20A,18-19,7,Architectural work,87974.58,Buildings,No Issue,,
20A,18-19,8,Installation of chamber-mesh,196229.45,Drainage,No Issue,,
20A,18-19,9,Kerala Help fund,100000.00,Help / Fund / Relief Work,No Issue,,
20A,18-19,10,Furniture work,190167.96,Furniture,No Issue,,
20A,18-19,11,Boring repairs,91806.62,Bore wells,No Issue,,
20B,18-19,1,Picking up radar waste,194672.83,Cleaning,No Issue,,
20B,18-19,2,Drainage line cleaning,199539.20,Drainage,No Issue,,
20B,18-19,3,Development work at Shaheen Sanskrutik Bhavan,198781.00,Buildings,No Issue,,
20B,18-19,4,Borewell installation and repair,105320.82,Bore wells,No Issue,,
20B,18-19,5, 'Aarogya-Kothi' repair,192934.66,Buildings,Resolved,Code - Medical/ Buildings?,Aarogy kothi is related to cleaning
20B,18-19,6,Electrical works at Shaheen Sanskrutik Bhavan,125080.22,Electrification,Resolved,Code - Buildings/  Electrification?,Electrification
20B,18-19,7,Improvement-related work at Private road,197190.20,Development work,No Issue,,
20B,18-19,8,Kerala Help fund,100000.00,Help / Fund / Relief Work,No Issue,,
20B,18-19,9,Miscelleneous Development work ,98780.37,Development work,No Issue,,
20C,18-19,1,Channel fencing and development work,197780.14,Fencing,No Issue,,
20C,18-19,2,Library development work,197865.28,Library,No Issue,,
20C,18-19,3,Picking up radar waste,194672.83,Cleaning,No Issue,,
20C,18-19,4,Police Station repair and other development work,191419.70,Buildings,No Issue,,
20C,18-19,5,Samaj mandir repair and other development work,192379.28,Buildings,No Issue,,
20C,18-19,6,Drainage line replacement,96851.41,Drainage,No Issue,,
20C,18-19,7,Drainage line and chamber cleaning,185577.87,Drainage,No Issue,,
20C,18-19,8,Toilet repair and drainage work,196395.60,Toilet,Resolved,Code - Toilet / Drainage??,Toilet
20C,18-19,9,Road development,197194.78,Road,No Issue,,
20C,18-19,10, 'Patra shed roads' development,196825.36,Buildings,No Issue,,
20D,18-19,1,Footpath repair,186521.14,Footpath,No Issue,,
20D,18-19,2,Concretization,199288.33,Concretization,No Issue,,
20D,18-19,3,Miscelleneous Development work ,197045.76,Development work,No Issue,,
20D,18-19,4,Channel fencing,199168.01,Fencing,No Issue,,
20D,18-19,5,Benches,199388.71,Benches,No Issue,,
20D,18-19,6,Purchasing of 'cubets'(??) for citizens,200000.00,Dustbin/Buckets,Resolved,Code - ???,Development work is fine. 
20D,18-19,7,Kerala floor relief fund,100000.00,Help / Fund / Relief Work,No Issue,,
20D,18-19,8,Benches,199388.71,Benches,No Issue,,
20D,18-19,9,Building related work,198859.27,Buildings,No Issue,,
20D,18-19,10,Miscelleneous Development work ,99926.28,Development work,No Issue,,
20D,18-19,11,Toilet repair work,198525.16,Toilet,No Issue,,
21A,18-19,1,Construction of 'Sanvidhan Konshila' at Dadasaheb magar school,182595.02,Decoration,Resolved,Code - ???,Decoration
21A,18-19,2,Construction of 'Sanvidhan Konshila' at Ramabai Ambedkar school,187485.65,Decoration,Resolved,Code - ???,Decoration
21A,18-19,3,Construction of 'Sanvidhan Konshila' at Kasturba Gandhi School,193410.54,Decoration,Resolved,Code - ???,Decoration
21A,18-19,4,Construction of 'Sanvidhan Konshila' at Shantabai Dhole Patil School,161530.19,Decoration,Resolved,Code - ???,Decoration
21A,18-19,5,Furniture work,145410.56,Furniture,No Issue,,
21A,18-19,6,"Name plates, Road indicator boards installation",199928.06,Nameplates,No Issue,,
21A,18-19,7,Water supply,199371.60,Water supply,No Issue,,
21B,18-19,1,Chamber repair work,162516.15,Drainage,No Issue,,
21B,18-19,2,"Nameplates, Direction boards, Reflectors installation",175124.05,Nameplates,No Issue,,
21B,18-19,3,Cloth bags distribution,200000.00,Bags,No Issue,,
21B,18-19,4,Library repair work,175913.06,Library,No Issue,,
21B,18-19,5,Virangula kendra development work,177693.33,Buildings,No Issue,,
21B,18-19,6,New library,195850.30,Library,No Issue,,
21B,18-19,7,Thermoplastic strips painting on roads,163987.21,Traffic,No Issue,,
21B,18-19,8, 'Anganwadi' repair work,199424.91,Buildings,No Issue,,
21B,18-19,9,Bollards,198519.82,Steel Bollards,No Issue,,
21C,18-19,1,Benches,164996.79,Benches,No Issue,,
21C,18-19,2,Bird-shaped' dustbin installation,200000.00,Dustbin/Buckets,No Issue,,
21C,18-19,3,Electrical poles and related work,113782.16,Electrification,No Issue,,
21C,18-19,4,Concretization and bollards installation,197940.79,Steel Bollards,No Issue,,
21C,18-19,5,"Nameplates, Direction boards, sign boards installation",165775.24,Nameplates,No Issue,,
21C,18-19,6,Cloth bags distribution,200000.00,Bags,No Issue,,
21C,18-19,7,Miscelleneous Development work ,99908.39,Cemetory / Crematorium,No Issue,,
21C,18-19,8,Jute bags distribution,200000.00,Bags,No Issue,,
21C,18-19,9,Repair works in schools,196184.89,Buildings,No Issue,,
21C,18-19,10,Footpath repair,199431.39,Footpath,No Issue,,
21D,18-19,1,Jute bags distribution,200000.00,Bags,No Issue,,
21D,18-19,2,Jute bags distribution,200000.00,Bags,No Issue,,
21D,18-19,3,Buckets distribution for waste collection,200000.00,Dustbin/Buckets,Resolved,Amount information unavailable.,Let's skip this work. 
21D,18-19,4,Benches,199679.18,Benches,No Issue,,
21D,18-19,5,Benches,190690.82,Benches,No Issue,,
21D,18-19,6,Bollards,198619.23,Steel Bollards,No Issue,,
21D,18-19,7,Buckets distribution,200000.00,Dustbin/Buckets,Resolved,Amount information unavailable.,Let's skip this work. 
21D,18-19,8,Bollards,195324.80,Steel Bollards,No Issue,,
21D,18-19,9,Borewell related work,178122.28,Bore wells,No Issue,,
20A,19-20,1, 'Patra shed' work,195482.42,Buildings,Resolved,Code???,Buildings is right. 
20A,19-20,2,Installation of 'patra' and related work,199043.80,Buildings,Resolved,Code???,Buildings is right. 
20A,19-20,3,Drainage line work,185911.08,Drainage,No Issue,,
20A,19-20,4,Balwadi and Samaj mandir - repair work,164047.06,Buildings,No Issue,,
20B,19-20,1,Boundary wall repair work,198191.11,Fencing,No Issue,,
20B,19-20,2,Buckets distribution,200000.00,Dustbin/Buckets,No Issue,,
20B,19-20,3,Electrical work,200000.00,Electrification,No Issue,,
20B,19-20,4,Decoration,199081.07,Decoration,No Issue,,
20B,19-20,5,Miscelleneous Development work ,199301.15,Development work,No Issue,,
20B,19-20,6,Miscelleneous Development work ,199398.39,Development work,No Issue,,
20B,19-20,7,Miscelleneous repair/maitenance work,198260.56,Maintenance,No Issue,,
20B,19-20,8,Shed and platform for citizens,199871.06,Benches,No Issue,,
20B,19-20,9,Cemetery - electrical work,200000.00,Cemetory / Crematorium,No Issue,,
20C,19-20,1,Toilet repair work,185756.03,Toilet,No Issue,,
20C,19-20,2,Chamber and drainage manhole related work,197410.05,Drainage,No Issue,,
20C,19-20,3,Toilet repair work,197963.28,Toilet,No Issue,,
20C,19-20,4, 'Patra shed' related work,176651.81,Buildings,Resolved,Code - ??,Buildings is right. 
20C,19-20,5,Fire extinguisher installation,200000.00,Fire Brigade,No Issue,,
20C,19-20,6,Fire extinguisher installation,200000.00,Fire Brigade,No Issue,,
20C,19-20,7,Gym and library repair work,197006.83,Gym,Resolved,Code - Gym/ Library??,Let's stick to library
20C,19-20,8,Gym and library repair work,197452.42,Library,Resolved,Code - Gym/ Library??,Let's stick to library
20C,19-20,9,Toilet repair work,175868.33,Toilet,No Issue,,
20C,19-20,10,Toilet repair work,174613.09,Toilet,No Issue,,
20D,19-20,1,Buckets distribution,200000.00,Dustbin/Buckets,No Issue,,
20D,19-20,2,Wheelbarrow  distribution,200000.00,Waste disposal,Resolved,Code - ??,Waste Disposal
20D,19-20,3,Benches,198995.01,Benches,No Issue,,
20D,19-20,4,Development work at school,197721.78,Buildings,No Issue,,
20D,19-20,5,Toilet repair work,199358.11,Toilet,No Issue,,
20D,19-20,6,Miscelleneous Development work ,196024.48,Development work,No Issue,,
20D,19-20,7,Fire extinguisher installation,100000.00,Fire Brigade,No Issue,,
20D,19-20,8,Library ,198981.73,Library,No Issue,,
20D,19-20,9,Library ,198985.16,Library,No Issue,,
20D,19-20,10,Library ,199905.93,Library,No Issue,,
21A,19-20,1,Panel installation and repair of regional office,196551.49,Buildings,No Issue,,
21A,19-20,2,"Regional office in and out gate repair, decoration",198916.27,Decoration,No Issue,,
21A,19-20,3,Regional office gate work,198993.46,Fencing,No Issue,,
21A,19-20,4,Chamber repair and cleaning,199709.44,Drainage,No Issue,,
21A,19-20,5,Chamber repair and cleaning,199782.02,Drainage,No Issue,,
21A,19-20,6,Chamber repair ,196657.44,Drainage,No Issue,,
21A,19-20,7,Chamber repair ,200000.00,Drainage,No Issue,,
21B,19-20,1,Colouring,199417.68,Colouring,No Issue,,
21B,19-20,2,Decoration,199239.04,Decoration,No Issue,,
21B,19-20,3,Toilet decoration,199386.88,Decoration,No Issue,,
21B,19-20,4,Cloth bags distribution,100000.00,Bags,No Issue,,
21B,19-20,5,Cloth bags distribution,200000.00,Bags,No Issue,,
21B,19-20,6,Cloth bags distribution,200000.00,Bags,No Issue,,
21B,19-20,7,Road development,200000.00,Road,,,
21B,19-20,8,Building related work,200000.00,Maintenance,,,
21B,19-20,9,Decoration,200000.00,Decoration,,,
21B,19-20,10,Drainage,200000.00,Drainage,No Issue,,
21C,19-20,1,Chamber plaster and cleaning,95507.89,Drainage,No Issue,,
21C,19-20,2,Chamber repair and cleaning,199608.53,Drainage,No Issue,,
21C,19-20,3, 'Kothi' decoration,198759.81,Decoration,No Issue,,
21C,19-20,4, 'Patra-shed' installation,197262.58,Buildings,No Issue,,
21C,19-20,5,Concretization,196558.86,Concretization,No Issue,,
21C,19-20,6,Jute bags distribution,200000.00,Bags,No Issue,,
21D,19-20,1, 'Swachha abhiyan'  - awareness program,199405.36,Colouring,Resolved,Code - ??,Mostly it will be under colouring. As they paint slogans at the public spaces.
21D,19-20,2,Benches,99076.57,Benches,No Issue,,
21D,19-20,3,Crematorium repair work,197119.36,Cemetory / Crematorium,No Issue,,
21D,19-20,4,Water supply and related work,194415.80,Water supply,No Issue,,
21D,19-20,5,Water supply and related work,166828.67,Water supply,No Issue,,
20A,20-21,1,Toilet repair work (under Covid-19 scheme),197134.53,Toilet,No Issue,,
20A,20-21,2,Toilet repair,198770.54,Toilet,No Issue,,
20A,20-21,3,Cloth masks purchasing,199998.40,Help / Fund / Relief Work,No Issue,,
20A,20-21,4,Balwadi and Samaj mandir - repair work,196273.12,Buildings,No Issue,,
20A,20-21,5,Drainage related work,197848.03,Drainage,No Issue,,
20A,20-21,6,Picking up radar waste,196774.34,Cleaning,No Issue,,
20A,20-21,7,Picking up radar waste,196632.37,Cleaning,No Issue,,
20A,20-21,8,Architectural work,199782.81,Buildings,No Issue,,
20B,20-21,1,Cloth masks purchasing,199998.40,Help / Fund / Relief Work,No Issue,,
20B,20-21,2,Direction indicators,199041.19,Nameplates,No Issue,,
20B,20-21,3,Picking up radar waste,198768.46,Cleaning,No Issue,,
20B,20-21,4,Cemetery development work,196869.79,Cemetory / Crematorium,No Issue,,
20B,20-21,5, 'Shaheen Sanskrutik bhavan' maintenance,197361.15,Buildings,No Issue,,
20B,20-21,6,Electrical work at Cemetery,124395.31,Electrification,No Issue,,
20B,20-21,7,Drainage repair work,197822.20,Drainage,No Issue,,
20B,20-21,8,Borewell related work,160717.61,Bore wells,No Issue,,
20B,20-21,9,Water supply related work,193275.37,Water supply,No Issue,,
20C,20-21,1,Cloth masks purchasing,199998.40,Help / Fund / Relief Work,No Issue,,
20C,20-21,2,Toilet repair work,199486.69,Toilet,No Issue,,
20C,20-21,3,Drainage line related work,199439.24,Drainage,No Issue,,
20C,20-21,4,Toilet repair work,199767.48,Toilet,No Issue,,
20C,20-21,5,Picking up radar waste,192568.99,Cleaning,No Issue,,
20C,20-21,6,Drainage line repair work,159725.57,Drainage,No Issue,,
20C,20-21,7,Drainage line replacement,175909.71,Drainage,No Issue,,
20C,20-21,8,Toilet repair work,197042.52,Toilet,No Issue,,
20C,20-21,9,Drainage line related work,193302.08,Drainage,No Issue,,
20C,20-21,10,Picking up radar waste,196717.55,Cleaning,No Issue,,
20D,20-21,1,Chamber repair work,198094.70,Drainage,No Issue,,
20D,20-21,2,Miscelleneous Development work ,194606.71,Development work,No Issue,,
20D,20-21,3,Toilet repair work,194852.11,Toilet,No Issue,,
20D,20-21,4,Drainage line cleaning,197115.76,Drainage,No Issue,,
20D,20-21,5,Chamber and manholes cleaning,197526.06,Drainage,No Issue,,
20D,20-21,6,Miscelleneous Development work ,196294.99,Development work,No Issue,,
20D,20-21,7,Drainage related work,195980.40,Drainage,No Issue,,
20D,20-21,8,Drainage related work,197715.68,Drainage,No Issue,,
20D,20-21,9,Decorative polls installation,123712.51,Decoration,No Issue,,
21A,20-21,1,Drainage related work,133251.21,Drainage,No Issue,,
21A,20-21,2,Block repair work,180230.00,Pavement blocks,Resolved,Code - ??,Pavement blocks
21A,20-21,3,Chamber repair work,195005.76,Drainage,No Issue,,
21A,20-21,4,Road repairing,180230.00,Road,No Issue,,
21B,20-21,1,Mask distribution,200000.00,Help / Fund / Relief Work,No Issue,,
21B,20-21,2,Drainage repair work,145992.09,Drainage,No Issue,,
21B,20-21,3,Traffic related work,179468.46,Traffic,No Issue,,
21B,20-21,4,Traffic related work,199887.52,Traffic,No Issue,,
21B,20-21,5,Repair and decoration work,199479.00,Decoration,No Issue,,
21B,20-21,6, 'Side-patti' repair,199179.00,Road,Resolved,Code - ??,Road looks okay. 
21B,20-21,7,Chamber repair work,199827.00,Drainage,No Issue,,
21B,20-21,8,Decoration work,199584.00,Decoration,No Issue,,
21B,20-21,9,Scented phenyl distribution,199936.80,Cleaning,No Issue,,
21C,20-21,1,Drainage related work,199053.15,Drainage,No Issue,,
21C,20-21,2,Crematorium repair work,199419.58,Cemetory / Crematorium,No Issue,,
21C,20-21,3,Jute bags distribution,200000.00,Bags,No Issue,,
21C,20-21,4,Boring related work,122928.00,Bore wells,No Issue,,
21C,20-21,5,Toilet repair work,199668.76,Toilet,No Issue,,
21C,20-21,6,Drainage related work,197671.37,Drainage,No Issue,,
21C,20-21,7,Toilet repair work,198742.23,Toilet,No Issue,,
21C,20-21,8,Concretization,198504.25,Concretization,No Issue,,
21C,20-21,9,Crematorium related work,199552.23,Cemetory / Crematorium,No Issue,,
21C,20-21,10,Scented phenyl distribution,99970.08,Cleaning,No Issue,,
21C,20-21,11,Phenyl distribution,100000.00,Cleaning,No Issue,,
21D,20-21,1,Hands-free-sanitiser wash basin installation (Covid19),199890.14,Help / Fund / Relief Work,No Issue,,
21D,20-21,2,Hands-free-sanitiser wash basin installation (Covid19),199890.14,Help / Fund / Relief Work,No Issue,,
21D,20-21,3,Repair work,196491.83,Maintenance,Resolved,Code - ??,Looks okay
21D,20-21,4,Mask distribution,200000.00,Help / Fund / Relief Work,No Issue,,
21D,20-21,5,Borewell related work,200000.00,Bore wells,No Issue,,
21D,20-21,6,DC infectant (disinfectant??) generator purchasing (Covid19),200000.00,Electrification,No Issue,,
21D,20-21,7,DC infectant (disinfectant??) generator purchasing (Covid19),200000.00,Electrification,No Issue,,
21D,20-21,8,Repair work,162488.04,Maintenance,Resolved,Code - ??,Looks okay
21D,20-21,9,Toilet repair work,194994.61,Toilet,No Issue,,
21D,20-21,10,Toilet repair work,196109.11,Toilet,No Issue,,
