Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
8D,19-20,5,Radaroda  (Cleanliness) work ,158301.20,Cleaning,,,
8D,19-20,6,Work related to Visarjan Ghat,196591.66,Ganeshotsav,,,
8D,19-20,7,putting water pipe line and related work ,199563.90,Water supply,,,
8D,19-20,8,"For garden, toys and gym related work ",187734.21,Garden,,,
8D,19-20,9,Work related to electricity ,197341.78,Electrification,,,
8D,19-20,10,Work related to electricity ,197157.72,Electrification,,,
8D,19-20,11,Computers for municipal schools ,200000.00,Computers,,,
9A,19-20,1,Providng cotton bags ,200000.00,Bags,,,
9A,19-20,2,New busstop work,200000.00,BusStop,,,
9A,19-20,3,Providing benches ,173006.00,Benches,,,
9A,19-20,4,Spreading Murum stone ,151940.00,Road,,,
9B,19-20,1,Providing Pushtrollys (Dhakalgade),192010.00,Waste disposal,Resolved,"Assumption, is for waste disposal",
9B,19-20,2,Providing Pushtrollys (Dhakalgade),192010.00,Waste disposal,Resolved,"Assumption, is for waste disposal",
9B,19-20,3,Decoration and wall painting,139611.54,Decoration,,,
9B,19-20,4,Installing Signboards/nameboards ,188394.02,Nameplates,,,
9B,19-20,5,Radaroda work,197455.00,Cleaning,,,
9B,19-20,6,Work related electricity ,115384.70,Electrification,,,
9B,19-20,7,Providing cottion bags ,100000.00,Bags,,,
9B,19-20,8,Providing cottion bags ,200000.00,Bags,,,
9B,19-20,9,Providing benches ,110989.58,Benches,,,
9C,19-20,1,Providing benches ,200000.00,Benches,,,
9C,19-20,2,Providing benches ,200000.00,Benches,,,
9C,19-20,3,Installing open gym ,200000.00,Gym,,,
9C,19-20,4,Buckets for waste segregation to citizens,200000.00,Dustbin/Buckets,,,
9C,19-20,5,Providing Jute bags ,200000.00,Bags,,,
9C,19-20,6,Providing Jute bags ,200000.00,Bags,,,
9C,19-20,7,Cleaning drainage line ,197260.26,Drainage,,,
9C,19-20,8,Concretization of lane,197682.88,Concretization,,,
9C,19-20,9,Concretization of lane,197187.87,Concretization,,,
9D,19-20,1,Providing benches ,200000.00,Benches,,,
9D,19-20,2,Providing benches ,200000.00,Benches,,,
9D,19-20,3,Installing name/signboards ,196414.40,Nameplates,,,
9D,19-20,4,Pavement block work,127060.52,Pavement blocks,,,
9D,19-20,5,Installing name/signboards ,148012.28,Nameplates,,,
9D,19-20,6,Colouring work  for Hall in Bhaji Mandai ,183768.43,Colouring,,,
9D,19-20,7,"Colouring work of  Crematorium, crematory, and swimming pool ",199911.04,Colouring,Resolved,Confused about which code to use? Colouring or Crematorium? ,
9D,19-20,8,Work related to electrification ,197083.43,Electrification,,,
8A,20-21,1,Distribution of cotton masks ,100000.00,Help / Fund / Relief Work,,,
8A,20-21,2,Providing Jute bags ,200000.00,Bags,,,
8A,20-21,3,Installing gate infront of school,167056.79,Fencing,,,
8A,20-21,4,Work related to cemetory,168724.70,Buildings,,,
8A,20-21,5,Providing benches ,176767.00,Benches,,,
8A,20-21,6,Distribution of cotton masks ,100000.00,Help / Fund / Relief Work,,,
8A,20-21,7,Painting of school,179883.13,Colouring,,,
8A,20-21,8,Repair work related to Samaj Mandir ,200000.00,Buildings,,,
8A,20-21,9,Repair work related to Samaj Mandir and Vihar,200000.00,Buildings,,,
8A,20-21,10,Radaroda (cleaning) work,198553.60,Cleaning,,,
8A,20-21,11,Electric work related to Samaj Mandir and Vihar,198525.60,Electrification,,,
8A,20-21,12,Electrification work ,197192.09,Electrification,,,
8B,20-21,1,Distribution of cotton masks ,200000.00,Help / Fund / Relief Work,,,
8B,20-21,2,Installing sign/name boards ,187947.65,Nameplates,,,
8B,20-21,3,Installing sign/name boards ,187947.65,Nameplates,,,
8B,20-21,4,Work related to footpath,167258.82,Footpath,,,
8B,20-21,5,Distribution of soaps ,199990.00,Help / Fund / Relief Work,,,
8B,20-21,6,Radaroda (cleaning) work,200000.00,Cleaning,,,
8B,20-21,7,Fencing at Ghat,200000.00,Fencing,,,
8B,20-21,8,Fencing at Ghat,200000.00,Fencing,,,
8C,20-21,1,Distribution of cotton masks ,200000.00,Help / Fund / Relief Work,,,
8C,20-21,2,Hand free sanitizer tank for Covid prevention,148969.50,Help / Fund / Relief Work,,,
8C,20-21,3,Purchase of cotton masks ,200000.00,Help / Fund / Relief Work,,,
8C,20-21,4,Paverblock work ,199213.28,Help / Fund / Relief Work,,,
8C,20-21,5,Concretization at various places,194003.71,Concretization,,,
8C,20-21,6,Concretization of road,160093.59,Concretization,,,
8D,20-21,1,Distribution of  masks ,200000.00,Help / Fund / Relief Work,,,
8D,20-21,2,Distribution of cotton masks ,200000.00,Help / Fund / Relief Work,,,
8D,20-21,3,Hand free sanitizer unit for Covid prevention,195820.00,Help / Fund / Relief Work,,,
8D,20-21,4,Line for Monsoon and repair work ,199164.29,Drainage,,,
8D,20-21,5,Lifting _____ from places ,199421.60,Cleaning,Resolved,Description not clear. No code selected. Is it radaroda ,
8D,20-21,6,Water line for basti ,176368.00,Water supply,,,
8D,20-21,7,Providing Electric motor for public toilet,197722.10,Electrification,,,
8D,20-21,8,Providing Electric motor for public toilet,197795.29,Electrification,,,
9A,20-21,1,Spreading Murum stone ,151940.00,Road,,,
9A,20-21,2,Providing Jute bags ,200000.00,Bags,,,
9A,20-21,3,Distribution of cotton masks ,200000.00,Help / Fund / Relief Work,,,
9A,20-21,4,Distribution of soaps ,199990.00,Help / Fund / Relief Work,,,
9A,20-21,5,Distribution of cotton masks ,200000.00,Help / Fund / Relief Work,,,
9A,20-21,6,Installing sanitizer stand ,197779.30,Help / Fund / Relief Work,,,
9A,20-21,7,Distribution of soaps ,199980.00,Help / Fund / Relief Work,,,
9B,20-21,1,Block work ,177917.00,Pavement blocks,,,
9B,20-21,2,Line for Monsoon and repair work ,153721.65,Drainage,,,
9B,20-21,3,Developmental work related to crematorium ,122493.84,Cemetory / Crematorium,,,
9B,20-21,4,Paverblock at Crematorium ,122930.40,Pavement blocks,,,
9B,20-21,5,"Colouring, block and electrification work  at Crematorium ",70473.00,Cemetory / Crematorium,,,
9B,20-21,6,"Colouring, block and electrification work  at Crematorium ",199276.40,Cemetory / Crematorium,,,
9B,20-21,7,Lifitng Radaroda (Cleaning),199208.80,Cleaning,,,
9B,20-21,8,Electrification work in ward ,197316.28,Electrification,,,
9B,20-21,9,Work related to electricity ,196989.18,Electrification,,,
9C,20-21,1,Distribution of masks ,200000.00,Help / Fund / Relief Work,,,
9C,20-21,2,Installation of Hand free sanitizer tank ,199198.44,Help / Fund / Relief Work,,,
9C,20-21,3,Distribution of cotton masks ,200000.00,Help / Fund / Relief Work,,,
9C,20-21,4,Providing Jute bags ,200000.00,Bags,,,
9C,20-21,5,Distribution of cotton masks ,200000.00,Help / Fund / Relief Work,,,
9D,20-21,1,Putting Blocks  (100 mm),139423.51,Pavement blocks,,,
9D,20-21,2,Installing sign/name boards for public places,139027.55,Nameplates,,,
