Ward No.,Year,Sr. No.,Details of the work,Amount,Expense Code,Issue Status,Original Comment,Resolution Comment
19C,17-18,1,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,17-18,2,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,17-18,3,Chamber repair and drainage line cleaning,133122.55,Drainage,No Issue,,
19C,17-18,4,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,17-18,5,Drainage meshes replacements,199151.44,Drainage,No Issue,,
19C,17-18,6,Drainage meshes replacements,191559.53,Drainage,No Issue,,
19C,17-18,7,Chamber repair and drainage line cleaning,56653.25,Drainage,No Issue,,
19C,17-18,8,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,17-18,9,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,17-18,10,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,17-18,11,Cloth bags distribution,200000.00,Bags,No Issue,,
19D,17-18,1,Clearing of rainy chambers,188804.90,Drainage,No Issue,,
19D,17-18,2,Drainage line,182273.79,Drainage,No Issue,,
19D,17-18,3,Drainage line,187523.90,Drainage,No Issue,,
19D,17-18,7,Chamber repairs,189648.29,Drainage,No Issue,,
19D,17-18,8,Cloth bags distribution,200000.00,Bags,No Issue,,
19D,17-18,9,Chamber repairs,155521.28,Drainage,No Issue,,
19D,17-18,10,Lanes concretization,127926.30,Concretization,No Issue,,
19D,17-18,11,Garbage Pick up,179852.40,Cleaning,No Issue,,
19D,17-18,12,Drainage line cleaning,191446.30,Drainage,No Issue,,
19D,17-18,13,Cleaning with Jetting Machine,191268.14,Cleaning,No Issue,,
17A,18-19,1,Footpath Consturction,92096.14,Footpath,No Issue,,
17A,18-19,2,Drainage line and chamber repairs,192684.28,Drainage,No Issue,,
17A,18-19,3,Drainage line and chamber repairs,196779.41,Drainage,No Issue,,
17A,18-19,4,Drainage Line repairs and related works,197805.63,Drainage,No Issue,,
17A,18-19,5,Drainage Line repairs ,197406.15,Drainage,No Issue,,
17A,18-19,6,Cloth bags distribution,200000.00,Bags,No Issue,,
17A,18-19,7,Drainage Line repairs and related works,197333.62,Drainage,No Issue,,
17A,18-19,8,Electricity Related works,152603.79,Electrification,No Issue,,
17A,18-19,9,Electricity Related works,152935.18,Electrification,No Issue,,
17B,18-19,1,Cloth bags distribution,200000.00,Bags,No Issue,,
17B,18-19,2,Cloth bags distribution,200000.00,Bags,No Issue,,
17B,18-19,3,Cloth bags distribution,200000.00,Bags,No Issue,,
17B,18-19,4,Bollard Installation,195961.38,Steel Bollards,No Issue,,
17B,18-19,5,Direction boards,197889.89,Nameplates,No Issue,,
17B,18-19,6,Direction boards,193808.33,Nameplates,No Issue,,
17B,18-19,7,Public tap repairs,182515.97,Water supply,No Issue,,
17C,18-19,1,Cloth bags distribution,200000.00,Bags,No Issue,,
17C,18-19,2,Drainage Line Repairs,196915.76,Drainage,No Issue,,
17C,18-19,3,Footpath repairs,97869.13,Footpath,No Issue,,
17C,18-19,4,Drainage Line repairs and related works,197494.08,Drainage,No Issue,,
17C,18-19,5,Joshi Hall repairs,189459.63,Buildings,No Issue,,
17D,18-19,1,Cloth bags distribution,200000.00,Bags,No Issue,,
17D,18-19,2,Cloth bags distribution,200000.00,Bags,No Issue,,
17D,18-19,3,Cloth bags distribution,200000.00,Bags,No Issue,,
17D,18-19,4,Cloth bags distribution,200000.00,Bags,No Issue,,
17D,18-19,5,Storm Water drainage line and Chamber clearing and cleaning,187690.72,Drainage,No Issue,,
17D,18-19,6,Garbage Pick up,197344.22,Cleaning,No Issue,,
17D,18-19,7,Footpath repairs,91199.38,Footpath,No Issue,,
17D,18-19,8,Toilet repairs,192287.49,Toilet,No Issue,,
17D,18-19,9,Chamber alignment and repair works,196297.10,Drainage,No Issue,,
17D,18-19,10,Garbage Pick up,198340.91,Cleaning,No Issue,,
18A,18-19,1,Health center repair,194261.75,Buildings,No Issue,,
18A,18-19,2,Footpath repiars,197782.06,Footpath,No Issue,,
18A,18-19,3,Cloth bags distribution,200000.00,Bags,No Issue,,
18A,18-19,4,Cloth bags distribution,200000.00,Bags,No Issue,,
18A,18-19,5,Cloth bags distribution,200000.00,Bags,No Issue,,
18A,18-19,6,Garbage Pick up,199138.26,Cleaning,No Issue,,
18A,18-19,7,Health center repair,190113.34,Buildings,No Issue,,
18A,18-19,8,Yoga hall repairs,169797.70,Gym,No Issue,,
18B,18-19,1,Doors and gate installation at Health Club,85614.46,Gym,No Issue,,
18B,18-19,2,Doors and gate installation at Health Club,86657.93,Gym,No Issue,,
18B,18-19,3,Drainage related works,197436.35,Drainage,No Issue,,
18B,18-19,4,Drainage related works,198064.32,Drainage,No Issue,,
18B,18-19,5,Cloth bags distribution,200000.00,Bags,No Issue,,
18B,18-19,6,Cloth bags distribution,200000.00,Bags,No Issue,,
18C,18-19,1,Cloth bags distribution,200000.00,Bags,No Issue,,
18C,18-19,2,Cloth bags distribution,200000.00,Bags,No Issue,,
18C,18-19,3,Cloth bags distribution,200000.00,Bags,No Issue,,
18C,18-19,4,Cloth bags distribution,200000.00,Bags,No Issue,,
18D,18-19,1,Cloth bags distribution,200000.00,Bags,No Issue,,
18D,18-19,2,Cloth bags distribution,200000.00,Bags,No Issue,,
18D,18-19,3,Cloth bags distribution,200000.00,Bags,No Issue,,
18D,18-19,4,Cloth bags distribution,200000.00,Bags,No Issue,,
18D,18-19,5,Mominpura Kabristan development works,199236.02,Cemetory / Crematorium,No Issue,,
18D,18-19,6,Footpath repairs,161769.68,Footpath,No Issue,,
18D,18-19,7,Footpath repairs,159737.76,Footpath,No Issue,,
18D,18-19,8,Concretization,196028.63,Concretization,No Issue,,
19A,18-19,1,Beautification of area around stadium,196466.98,Decoration,No Issue,,
19A,18-19,2,Footpath repairs,196479.65,Footpath,Resolved,,
19A,18-19,3,Arc (kamaan) repairs,191539.71,Maintenance,Resolved,Check for reclassification of expense code,
19A,18-19,4,Information boards installlation,162100.76,Nameplates,No Issue,,
19A,18-19,5,Garbage Pick up,197364.16,Cleaning,No Issue,,
19B,18-19,1,Drainage repairs,200000.00,Drainage,No Issue,,
19B,18-19,2,Ward Office building repairs,197609.34,Buildings,No Issue,,
19B,18-19,3,Thermoplastic paint application,197396.98,Road,No Issue,,
19B,18-19,4,Direction boards,197008.26,Nameplates,No Issue,,
19B,18-19,5,Drainage Chamber alignment and cleaning of drainage,196086.14,Drainage,No Issue,,
19B,18-19,6,Corporation Building repairs,191499.97,Buildings,No Issue,,
19B,18-19,7,Concrete repairs related,191563.37,Concretization,No Issue,,
19C,18-19,1,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,18-19,2,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,18-19,3,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,18-19,4,Cloth bags distribution,200000.00,Bags,No Issue,,
19C,18-19,5,Chamber cleaning,200000.00,Drainage,No Issue,,
19C,18-19,6,Garbage Pick up,200000.00,Cleaning,No Issue,,
19C,18-19,7,Clearing and cleaning of chambers,196887.29,Drainage,No Issue,,
19C,18-19,8,Footpath related works,196794.61,Footpath,No Issue,,
19D,18-19,1,Cloth bags distribution,200000.00,Bags,No Issue,,
19D,18-19,2,Cloth bags distribution,200000.00,Bags,No Issue,,
19D,18-19,3,Drainage related works,198734.41,Drainage,No Issue,,
19D,18-19,4,Drainage line laying,197541.56,Drainage,No Issue,,
19D,18-19,5,Chamber repairs,196602.42,Drainage,No Issue,,
19D,18-19,6,Drainage line clearing and chamber repairs,170522.89,Drainage,No Issue,,
19D,18-19,7,Drainage related works,198780.68,Drainage,No Issue,,
19D,18-19,8,Toilet repairs,198326.93,Toilet,No Issue,,
19D,18-19,9,Cat's eye installation,99575.21,Traffic,No Issue,,
19D,18-19,10,Developmental works at Urdu Study Hall,189209.20,Library,No Issue,,
17A,19-20,1,Chamber cleaning and repairs,198081.85,Drainage,No Issue,,
17A,19-20,2,Chamber repairs,186385.11,Drainage,No Issue,,
17A,19-20,3,Footpath repairs,189997.80,Footpath,No Issue,,
17A,19-20,4,Drainage line cleaning,197997.51,Drainage,No Issue,,
17A,19-20,5,Concretization,196732.48,Concretization,No Issue,,
17A,19-20,6,Chamber repairs,186122.79,Drainage,No Issue,,
17A,19-20,7,Chamber alignment,196604.09,Drainage,No Issue,,
17A,19-20,8,Drainage line repair,189995.53,Drainage,No Issue,,
17A,19-20,9,Toilet repairs,195729.37,Toilet,No Issue,,
17A,19-20,10,Drainage line repair,190639.71,Drainage,No Issue,,
17B,19-20,1,Rain water line cleaning,197319.87,Drainage,No Issue,,
17B,19-20,2,Toilet repairs,196108.21,Toilet,No Issue,,
17B,19-20,3,Drainage cleaning,197339.11,Drainage,No Issue,,
17B,19-20,4,Drainage line repair,197903.75,Drainage,No Issue,,
17B,19-20,5,Cloth bags distribution,200000.00,Bags,No Issue,,
17B,19-20,6,Cloth bags distribution,200000.00,Bags,No Issue,,
17B,19-20,7,Cloth bags distribution,100000.00,Bags,No Issue,,
17B,19-20,8,Direction boards,196516.95,Nameplates,No Issue,,
17C,19-20,1,Chamber alignment,197954.11,Drainage,No Issue,,
17C,19-20,2,Drainage line repair,197711.58,Drainage,No Issue,,
17C,19-20,3,Chamber repairs,186290.12,Drainage,No Issue,,
17C,19-20,4,Concretization,196632.35,Concretization,No Issue,,
17C,19-20,5,Toilet repairs,196447.35,Toilet,No Issue,,
17C,19-20,6,Footpath repairs,197305.50,Footpath,No Issue,,
17C,19-20,7,Concretization,198293.59,Concretization,No Issue,,
17C,19-20,8,Chamber repairs,196638.63,Drainage,No Issue,,
17D,19-20,1,Chamber cleaning and repairs,196212.35,Drainage,No Issue,,
17D,19-20,2,Drainage line and flooring installation,199869.27,Drainage,No Issue,,
17D,19-20,3,Chamber alignment,199680.83,Drainage,No Issue,,
17D,19-20,4,Footpath Consturction,199763.62,Footpath,No Issue,,
17D,19-20,5,Footpath Consturction,199717.68,Footpath,No Issue,,
17D,19-20,6,Laying of drainage line,196534.01,Drainage,No Issue,,
17D,19-20,7,Chamber alignment and clearing,195670.26,Drainage,No Issue,,
17D,19-20,8,Garbage Pick up,189881.75,Cleaning,No Issue,,
18A,19-20,1,Direction boards,197113.65,Nameplates,No Issue,,
18A,19-20,2,Thermoplastic paint application,197611.50,Road,No Issue,,
18A,19-20,3,Thermoplastic paint application,196797.93,Road,No Issue,,
18A,19-20,4,Direction boards,196656.77,Nameplates,No Issue,,
18A,19-20,5,Chamber grill repairs and installation,197205.85,Drainage,No Issue,,
18A,19-20,6,Chamber alignment,196791.72,Drainage,No Issue,,
18A,19-20,7,Chamber and Drainage line cleaning,196731.31,Drainage,No Issue,,
18A,19-20,8,Chamber cleaning and alignment,197173.71,Drainage,No Issue,,
18A,19-20,9,Wall Painting,195844.02,Decoration,No Issue,,
18A,19-20,10,Repair works in Schools,196760.36,Buildings,No Issue,,
18B,19-20,1,Developmental Works in Schools,188338.60,Buildings,No Issue,,
18B,19-20,2,Corporation Building repairs,197134.81,Buildings,No Issue,,
18B,19-20,3,Chamber repairs and drainage related works,183854.68,Drainage,No Issue,,
18B,19-20,4,Health centers and Samaaj Mandirs repairs,182343.19,Buildings,No Issue,,
18B,19-20,5,Direction boards,197908.16,Nameplates,No Issue,,
18B,19-20,7,Toilet repairs,196982.24,Toilet,No Issue,,
18B,19-20,8,Garbage Pick up,98492.12,Cleaning,No Issue,,
18C,19-20,1,School Furniture Repair,195233.49,Furniture,No Issue,,
18C,19-20,2,Drainage line clearing and chamber repairs,196943.66,Drainage,No Issue,,
18C,19-20,3,Drainage line cleaning,196743.66,Drainage,No Issue,,
18D,19-20,1,Drainage line cleaning,199101.25,Drainage,No Issue,,
18D,19-20,2,Rain Net cover cleaning,199306.89,Drainage,No Issue,,
18D,19-20,3,Drainage line cleaning,199259.34,Drainage,No Issue,,
18D,19-20,4,Drainage line cleaning,197514.95,Drainage,No Issue,,
18D,19-20,5,Drainage line cleaning,197596.89,Drainage,No Issue,,
18D,19-20,6,Drainage line cleaning,176353.11,Drainage,No Issue,,
19A,19-20,1,Drainage line and chamber repairs,197275.83,Drainage,No Issue,,
19A,19-20,2,Direction boards,193606.05,Nameplates,No Issue,,
19A,19-20,3,Wall Painting,197608.12,Decoration,No Issue,,
19A,19-20,4,Boxing coaching center furniture works,197319.01,Furniture,No Issue,,
19B,19-20,1,Cloth bags distribution,200000.00,Bags,No Issue,,
19B,19-20,2,Cloth bags distribution,200000.00,Bags,No Issue,,
19B,19-20,3,Concretization,197820.92,Concretization,No Issue,,
19B,19-20,4,Chamber repairs related works,198383.98,Drainage,No Issue,,
19B,19-20,5,Chamber alignment,194252.02,Drainage,No Issue,,
19B,19-20,6,Rain line repairs and related works,196749.89,Drainage,No Issue,,
19C,19-20,1,Chamber alignment,197362.14,Drainage,No Issue,,
19C,19-20,2,Direction boards,192127.05,Nameplates,No Issue,,
19C,19-20,3,Chamber clearing and cleaning,197490.02,Drainage,No Issue,,
19C,19-20,4,Direction boards,196584.42,Nameplates,No Issue,,
19C,19-20,5,Chamber alignment,197450.37,Drainage,No Issue,,
19C,19-20,6,Direction boards,196243.27,Nameplates,No Issue,,
19C,19-20,7,Chamber clearing and cleaning,197228.68,Drainage,No Issue,,
19C,19-20,8,Garbage Pick up,195592.12,Cleaning,No Issue,,
19C,19-20,9,Chamber repair related works,195187.44,Drainage,No Issue,,
19D,19-20,1,Chamber replacement and repairs,197665.01,Drainage,No Issue,,
19D,19-20,2,Toilet repairs,198040.93,Toilet,No Issue,,
19D,19-20,3,Toilet repairs,198256.36,Toilet,No Issue,,
19D,19-20,4,Chamber replacement and repairs,197175.68,Drainage,No Issue,,
19D,19-20,5,Drainage line laying and repairs,198592.71,Drainage,No Issue,,
19D,19-20,6,Drainage line laying and chamber installation,198028.97,Drainage,No Issue,,
19D,19-20,7,Cloth bags distribution,200000.00,Bags,No Issue,,
19D,19-20,8,Developmental works at Urdu Study Hall,195988.22,Library,No Issue,,
17A,20-21,1,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
17A,20-21,2,Garbage Pick up,197712.36,Cleaning,No Issue,,
17A,20-21,3,Garbage Pick up,197712.36,Cleaning,No Issue,,
17A,20-21,4,Toilet repairs,198084.02,Toilet,No Issue,,
17A,20-21,5,Chamber alignment and repair works,198007.29,Drainage,No Issue,,
17A,20-21,6,Drainage line repairs,197967.08,Drainage,No Issue,,
17A,20-21,7,Chamber repairs,197703.18,Drainage,No Issue,,
17A,20-21,8,Toilet repairs,197390.39,Toilet,No Issue,,
17A,20-21,9,Chamber alignment and repair works,179030.65,Drainage,No Issue,,
17B,20-21,1,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
17B,20-21,2,Garbage Pick up,196509.12,Cleaning,No Issue,,
17B,20-21,3,Garbage Pick up,196509.12,Cleaning,No Issue,,
17B,20-21,4,Toilet repairs,197682.69,Toilet,No Issue,,
17B,20-21,5,Kabristan Repairs,196749.07,Cemetory / Crematorium,No Issue,,
17B,20-21,6,Toilet repairs,197243.73,Toilet,No Issue,,
17B,20-21,7,Chamber repairs,197491.55,Drainage,No Issue,,
17B,20-21,8,Drainage line repairs,196981.90,Drainage,No Issue,,
17B,20-21,9,Drainage line repairs,195451.03,Drainage,No Issue,,
17B,20-21,10,Chamber alignment and repair works,195525.11,Drainage,No Issue,,
17C,20-21,1,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
17C,20-21,2,Toilet repairs,195554.31,Toilet,No Issue,,
17C,20-21,3,Garbage Pick up,197712.36,Cleaning,No Issue,,
17C,20-21,4,Garbage Pick up,197712.36,Cleaning,No Issue,,
17C,20-21,5,Chamber alignment and repair works,197653.86,Drainage,No Issue,,
17C,20-21,6,Drainage line repairs,197818.32,Drainage,No Issue,,
17C,20-21,7,Drainage line repairs,197499.51,Drainage,No Issue,,
17C,20-21,8,Toilet repairs,197741.89,Toilet,No Issue,,
17C,20-21,9,Chamber repairs,197334.76,Drainage,No Issue,,
17C,20-21,10,Chamber alignment and repair works,179454.80,Drainage,No Issue,,
17D,20-21,1,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
17D,20-21,2,Drainage line installation,197340.38,Drainage,No Issue,,
17D,20-21,3,Drainage line installation,197818.09,Drainage,No Issue,,
17D,20-21,4,Chamber alignment and clearing,197651.88,Drainage,No Issue,,
17D,20-21,5,Concretization,197285.22,Concretization,No Issue,,
17D,20-21,6,Drainage line installation,197618.66,Drainage,No Issue,,
17D,20-21,7,Drainage line installation,197580.27,Drainage,No Issue,,
17D,20-21,8,Foot Operated Hand Sanitizer stand,197781.22,Help / Fund / Relief Work,No Issue,,
17D,20-21,9,Foot Operated Hand Sanitizer stand,197781.22,Help / Fund / Relief Work,No Issue,,
17D,20-21,10,Drainage line installation,194022.32,Drainage,No Issue,,
18A,20-21,1,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
18A,20-21,2,Direction boards,195061.20,Nameplates,No Issue,,
18A,20-21,3,Drainage Line cleaning,196667.77,Drainage,No Issue,,
18A,20-21,4,Drainage Line cleaning,197322.89,Drainage,No Issue,,
18A,20-21,5,Drainage line cleaning and Chamber alignment,197462.20,Drainage,No Issue,,
18A,20-21,6,Concretization,195063.21,Concretization,No Issue,,
18A,20-21,7,Garbage Pick up,178007.20,Cleaning,No Issue,,
18B,20-21,1,Black Phenyl Supply for toilets and urinals,199962.00,Cleaning,No Issue,,
18B,20-21,2,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
18B,20-21,3,Drainage Line repairs,193736.13,Drainage,No Issue,,
18B,20-21,4,Drainage Line repairs,196275.70,Drainage,No Issue,,
18B,20-21,5,Drainage Line repairs,196110.32,Drainage,No Issue,,
18B,20-21,6,Drainage Line repairs,196214.80,Drainage,No Issue,,
18B,20-21,7,Drainage Line repairs,195707.51,Drainage,No Issue,,
18C,20-21,1,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
18C,20-21,2,Chamber alignment and Manhole repairs,197908.48,Drainage,No Issue,,
18C,20-21,3,Toilet repairs,197742.84,Toilet,No Issue,,
18C,20-21,4,Drainage line cleaning and chamber clearing,196511.34,Drainage,No Issue,,
18C,20-21,5,Hand wash basin distribution,199558.07,Help / Fund / Relief Work,No Issue,,
18C,20-21,6,Hand wash basin distribution,199558.07,Help / Fund / Relief Work,No Issue,,
18C,20-21,7,Black Phenyl Supply for toilets and urinals,99981.00,Cleaning,No Issue,,
18D,20-21,1,Drainage related works,196608.25,Drainage,No Issue,,
18D,20-21,2,Drainage related works,196912.58,Drainage,No Issue,,
18D,20-21,3,Toilet repairs,196497.59,Toilet,No Issue,,
18D,20-21,4,Drainage related works,196531.29,Drainage,No Issue,,
18D,20-21,5,Toilet repairs,196776.74,Toilet,No Issue,,
18D,20-21,6,Drainage related works,197444.33,Drainage,No Issue,,
18D,20-21,7,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
18D,20-21,8,Chamber repairs,197396.97,Drainage,No Issue,,
18D,20-21,9,Chamber repairs,192120.08,Drainage,No Issue,,
18D,20-21,10,Foot operated wash basin ,197484.02,Help / Fund / Relief Work,No Issue,,
19A,20-21,1,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
19A,20-21,2,Drainage line cleaning and chamber repairs,197908.73,Drainage,No Issue,,
19A,20-21,3,Virangula center works,195789.39,Buildings,No Issue,,
19A,20-21,4,Concretization,189450.72,Concretization,No Issue,,
19A,20-21,5,Direction boards,197574.64,Nameplates,No Issue,,
19A,20-21,6,Electrical works in samaaj mandir,197256.59,Electrification,No Issue,,
19A,20-21,7,Samaaj Mandir repairs,197630.42,Buildings,No Issue,,
19A,20-21,8,Sports center repairs,194380.01,Gym,No Issue,,
19B,20-21,1,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
19B,20-21,2,Motor Stand repairs,191379.17,Maintenance,No Issue,,
19B,20-21,3,Direction boards,197497.35,Nameplates,No Issue,,
19B,20-21,4,Drainage Line laying,197228.33,Drainage,No Issue,,
19B,20-21,5,Reading hall construction and repairs,197864.21,Library,No Issue,,
19C,20-21,1,Chamber repairs,197260.21,Drainage,No Issue,,
19C,20-21,2,Rain cover changes,197453.95,Drainage,No Issue,,
19C,20-21,3,Chamber alignment,196822.36,Drainage,No Issue,,
19C,20-21,4,Chamber repairs and cleaning,197494.94,Drainage,No Issue,,
19C,20-21,5,Chamber alignment,196890.18,Drainage,No Issue,,
19C,20-21,6,Chamber repairs and cleaning,197431.54,Drainage,No Issue,,
19C,20-21,7,Chamber repairs,196418.13,Drainage,No Issue,,
19C,20-21,8,Cotton Masks supply,200000.00,Help / Fund / Relief Work,No Issue,,
19C,20-21,9,Repairs and developmental works,197920.00,Development work,No Issue,,
19D,20-21,1,Chamber repairs,197268.30,Drainage,No Issue,,
19D,20-21,2,Drainage Line Clearing,197418.06,Drainage,No Issue,,
19D,20-21,3,Chamber repairs,197268.30,Drainage,No Issue,,
19D,20-21,4,Drainage Line Cleaning,197124.32,Drainage,No Issue,,
19D,20-21,5,Hands Free Sanitizer Wash Basin installation,199917.88,Help / Fund / Relief Work,No Issue,,
19D,20-21,6,Brick mortar benches,197247.06,Benches,No Issue,,
19D,20-21,7,Boards for Corporation School,198134.44,Nameplates,No Issue,,
19D,20-21,8,BSNL Office Library,196451.98,Library,No Issue,,
19D,20-21,9,Reading hall,196451.98,Library,No Issue,,
19D,20-21,10,Boards for Corporation Clinics,197083.48,Nameplates,No Issue,,
